,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSP amplitude (mV),PSP rise time (ms),PSP decay tau (ms),Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
266,mouse,VISp,14.807190390290534,7.861230666740641,L6a,Pvalb,INH,16602,L6a,Pvalb,INH,16603,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.6263989711053141,3.2162974790305934,11.556766247514572,-55.0,0.0,25.0,0.0,25.0
267,mouse,VISp,5.879818685626017,64.24936309469659,L23,,EXC,16609,L23,Sst,INH,16610,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.23570768473287412,8.241104666995085,499.9999995907035,-70.0,0.0,25.0,50.0,75.0
268,mouse,VISp,34.19176099959426,87.32304676771551,L23,,EXC,16609,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,1.8370100416759276,3.06059493277482,13.389747565613249,-70.0,25.0,50.0,75.0,100.0
269,mouse,VISp,34.19176099959426,87.32304676771551,L23,Sst,INH,16611,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.37457597550161786,6.094757909828595,9.262824137470652,-55.0,25.0,50.0,75.0,100.0
270,mouse,VISp,143.0076160101647,11.514808273662897,L23,,EXC,16612,L23,Pvalb,INH,16614,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.06749924858373622,2.731190725833123,8.442141031094954,-70.0,125.0,150.0,0.0,25.0
271,mouse,VISp,68.99397578018532,38.16365055865647,L23,Sst,INH,16613,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.6026486897113987,8.946107915894219,78.29318397995358,-55.0,50.0,75.0,25.0,50.0
272,mouse,VISp,101.94417954354508,49.67509650764067,L23,Sst,INH,16613,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.05056497452686124,12.55698926360508,462.05210461753643,-55.0,100.0,125.0,25.0,50.0
273,mouse,VISp,61.478462583196574,9.820766448018801,L23,Pvalb,INH,16616,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.5141452249839552,7.382041999623822,91.1685744391486,-55.0,50.0,75.0,0.0,25.0
274,mouse,VISp,93.98342643216905,97.81032003014343,L23,Pvalb,INH,16616,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.057837871015432724,15.576251419131971,93.50281226402339,-55.0,75.0,100.0,75.0,100.0
275,mouse,VISp,17.651689038149794,4.695234328598198,L23,Sst,INH,16635,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.264906454993196,6.40603888644469,19.886273783108045,-55.0,0.0,25.0,0.0,25.0
276,mouse,VISp,17.651689038149794,4.695234328598198,L23,Pvalb,INH,16636,L23,Sst,INH,16635,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.24993593579615894,8.464883872317605,85.83994247090465,-55.0,0.0,25.0,0.0,25.0
277,mouse,VISp,110.9748059785613,8.616267615429674,L23,Pvalb,INH,16636,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.8937941245160731,9.552196674121957,499.9999996493607,-55.0,100.0,125.0,0.0,25.0
278,mouse,VISp,147.6951916771573,24.66748233217073,L23,Pvalb,INH,16638,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.107824874711658,4.50496782052185,69.66451628135324,-55.0,125.0,150.0,0.0,25.0
279,mouse,VISp,36.69888702106891,33.204844187781745,L23,Pvalb,INH,16638,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-08 00:00:007,True,-2.4753374941836204,4.336887412160565,41.75705726320666,-55.0,25.0,50.0,25.0,50.0
280,mouse,VISp,112.11508340344663,52.35186460899128,L23,Sst,INH,16650,L23,,EXC,16656,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.15696247506196281,14.680961228064646,379.65960131781736,-55.0,100.0,125.0,50.0,75.0
281,mouse,VISp,9.285010638776498,57.716524035044216,L23,Pvalb,INH,16651,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.1222316896701453,5.4833967169770705,94.97273735116944,-55.0,0.0,25.0,50.0,75.0
282,mouse,VISp,101.74613499506393,110.48897326980735,L23,Pvalb,INH,16651,L23,,EXC,16656,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.6248987050542238,5.319575339643416,499.999999507727,-55.0,100.0,125.0,100.0,125.0
283,mouse,VISp,112.11508340344663,52.35186460899128,L23,,EXC,16656,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.5632048597817938,4.48615872142428,42.971866822268815,-70.0,100.0,125.0,50.0,75.0
284,mouse,VISp,101.74613499506393,110.48897326980735,L23,,EXC,16656,L23,Pvalb,INH,16651,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.7763840314186712,1.081505838966867,5.94615339933096,-70.0,100.0,125.0,100.0,125.0
285,mouse,VISp,23.355279279869322,40.52076068214039,L23,,EXC,16656,L23,Sst,INH,16655,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.8505231549233442,3.912581378410827,33.46862877677392,-70.0,0.0,25.0,25.0,50.0
286,mouse,VISp,124.2954436730297,9.60338361852932,L23,Sst,INH,16666,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.19684859812276867,6.2333116550467045,11.896742409474754,-55.0,100.0,125.0,0.0,25.0
287,mouse,VISp,67.53454340998988,56.790799364194385,L23,Sst,INH,16669,L1,Sst,INH,16670,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.1639420202133316,12.357510390853648,499.9883973698272,-55.0,50.0,75.0,50.0,75.0
288,mouse,VISp,64.98608628836793,117.48923323764922,L1,Sst,INH,16670,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.11957414063870841,6.585012000681994,33.43424738686206,-55.0,50.0,75.0,100.0,125.0
289,mouse,VISp,30.264504753887017,82.91153908173426,L23,Sst,INH,16680,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.1279679300325206,4.72336475846585,18.433602785694315,-55.0,25.0,50.0,75.0,100.0
290,mouse,VISp,88.93650868228394,129.93995427452663,L23,Pvalb,INH,16683,L23,,,16691,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.1145631845929074,5.865607223145833,17.390850983130424,-55.0,75.0,100.0,125.0,150.0
291,mouse,VISp,46.24561632514156,11.253165830458604,L23,Sst,INH,16685,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.2785807638714409,4.897682925306771,25.693076939523095,-55.0,25.0,50.0,0.0,25.0
292,mouse,VISp,91.35028108179621,47.51552883991456,L5,,INH,16748,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.8478197394477527,11.817819069828268,499.99999943700027,-55.0,75.0,100.0,25.0,50.0
293,mouse,VISp,83.43270439605037,12.470039733747804,L5,Sst,INH,16751,L5,Sim1,EXC,16749,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.4595029071455812,11.444893311639763,499.9999999884459,-55.0,75.0,100.0,0.0,25.0
294,mouse,VISp,8.574670093967951,14.827656462826885,L5,Sst,INH,16751,L5,Sim1,EXC,16752,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.5841751108747752,7.1185698450951636,14.76656045351429,-55.0,0.0,25.0,0.0,25.0
295,mouse,VISp,25.611770046526296,34.42135080562436,L5,Sst,INH,16751,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.8378184999373902,5.873786726470339,43.518578207431034,-55.0,25.0,50.0,25.0,50.0
296,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Sst,INH,16900,L23,Nr5a1,EXC,16904,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.14399832070559837,10.336422581644563,50.37612223448711,-55.0,0.0,25.0,0.0,25.0
297,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Nr5a1,EXC,16904,L23,Sst,INH,16900,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.060866463316553265,3.902117627414922,14.239042919154125,-70.0,0.0,25.0,0.0,25.0
298,mouse,VISp,90.76950949056393,123.45914434391784,L5,,INH,17016,L23,Pvalb,INH,17021,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.9764147843364778,2.5170212167094625,13.13878482925289,-55.0,75.0,100.0,100.0,125.0
299,mouse,VISp,103.74939813900065,40.653557803901485,L4,,EXC,17416,L5,Sim1,EXC,17413,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.782561310520468,5.4911080447820035,49.05805200446655,-70.0,100.0,125.0,25.0,50.0
300,mouse,VISp,69.50568992834634,25.186231807766845,L4,Nr5a1,EXC,17480,L23,Pvalb,INH,17482,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.7907421946212337,1.4348355104063506,5.000000000000852,-70.0,50.0,75.0,25.0,50.0
301,mouse,VISp,9.734888026929172,18.364637285368808,L23,Pvalb,INH,17482,L4,Nr5a1,EXC,17481,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.8356821281050941,8.442003556613006,499.9999993907788,-55.0,0.0,25.0,0.0,25.0
302,mouse,VISp,43.60915219670032,107.4397239664411,L5,Pvalb,INH,17488,L23,Nr5a1,EXC,17485,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.29899571403750763,5.026820102546058,11.284112092993462,-55.0,25.0,50.0,100.0,125.0
303,mouse,VISp,16.290155606086966,76.67350500681107,L5,Pvalb,INH,17488,L4,Nr5a1,EXC,17490,AISynphys,Accessed on 2025-07-08 00:00:007,True,-0.5360179233411496,4.676050154180206,31.90400569697397,-55.0,0.0,25.0,75.0,100.0
304,mouse,VISp,16.290155606086966,76.67350500681107,L4,Nr5a1,EXC,17490,L5,Pvalb,INH,17488,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.20743870974042225,2.893776320737509,5.346802957083602,-70.0,0.0,25.0,75.0,100.0
305,mouse,VISp,22.473989152818557,24.162308964148497,L5,Sst,INH,17602,L5,Sst,INH,17603,AISynphys,Accessed on 2025-07-08 00:00:007,True,-1.011095209880459,16.929017482666577,499.9999978813206,-55.0,0.0,25.0,0.0,25.0
306,mouse,VISp,5.023682615072239,38.480632441177725,L4,Nr5a1,EXC,17615,L5,Nr5a1,EXC,17618,AISynphys,Accessed on 2025-07-08 00:00:007,True,0.17473030318863292,4.3423742147707785,14.278315458612123,-70.0,0.0,25.0,25.0,50.0
