,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
48,L2,L4,DTC,L4c,243,50,0.00823045267489712,Schneider-Mizell2024,schneider-mizell_cell-type_2024
49,L2,L4,STC,ITC,12,50,0.25,Schneider-Mizell2024,schneider-mizell_cell-type_2024
50,L2,L4,STC,L4a,64,50,0.03125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
51,L2,L4,STC,L4b,152,50,0.05263157894736842,Schneider-Mizell2024,schneider-mizell_cell-type_2024
52,L2,L4,STC,L4c,81,50,0.024691358024691357,Schneider-Mizell2024,schneider-mizell_cell-type_2024
53,L2,L5,DTC,L5ET,114,50,0.12280701754385964,Schneider-Mizell2024,schneider-mizell_cell-type_2024
54,L2,L5,DTC,L5NP,30,50,0.03333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
55,L2,L5,DTC,L5a,90,50,0.06666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
56,L2,L5,DTC,L5b,132,50,0.015151515151515152,Schneider-Mizell2024,schneider-mizell_cell-type_2024
57,L2,L5,STC,ITC,3,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
58,L2,L5,STC,L5ET,38,50,0.02631578947368421,Schneider-Mizell2024,schneider-mizell_cell-type_2024
59,L2,L6,DTC,DTC,45,50,0.022222222222222223,Schneider-Mizell2024,schneider-mizell_cell-type_2024
60,L2,L6,DTC,L6tall-a,243,50,0.01646090534979424,Schneider-Mizell2024,schneider-mizell_cell-type_2024
61,L2,L6,DTC,L6tall-b,186,50,0.010752688172043012,Schneider-Mizell2024,schneider-mizell_cell-type_2024
62,L2,L6,DTC,L6tall-c,315,50,0.012698412698412698,Schneider-Mizell2024,schneider-mizell_cell-type_2024
63,L2,L6,STC,L6tall-a,81,50,0.04938271604938271,Schneider-Mizell2024,schneider-mizell_cell-type_2024
64,L2,L6,STC,L6tall-c,105,50,0.02857142857142857,Schneider-Mizell2024,schneider-mizell_cell-type_2024
65,L3,L1,DTC,STC,45,50,0.24444444444444444,Schneider-Mizell2024,schneider-mizell_cell-type_2024
66,L3,L1,ITC,STC,99,50,0.06060606060606061,Schneider-Mizell2024,schneider-mizell_cell-type_2024
67,L3,L1,PTC,STC,108,50,0.037037037037037035,Schneider-Mizell2024,schneider-mizell_cell-type_2024
68,L3,L1,STC,STC,45,50,0.13333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
