,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,Stimulus pulse frequency (Hz),Number of pulses,Interburst interval,Number of bursts,Paired pulse difference,stp induction,stp recovery,Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
260,mouse,VISp,101.7623487107909,7.123327273361582,L4,Nr5a1,EXC,16406,L4,Nr5a1,EXC,16411,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.5429924669277009,0.25837282602773026,0.19945176239079396,-70.0,100.0,125.0,0.0,25.0
261,mouse,VISp,63.31263088300969,104.58124694404746,L5,Pvalb,INH,16409,L4,Nr5a1,EXC,16406,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.31506846231252206,-0.72361239947194,-0.1276804503936985,-55.0,50.0,75.0,100.0,125.0
262,mouse,VISp,34.837635283335025,111.02790587769063,L5,Pvalb,INH,16409,L4,Nr5a1,EXC,16411,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.39877139765847447,-0.7517965324124816,-0.18149625458090488,-55.0,25.0,50.0,100.0,125.0
263,mouse,VISp,34.837635283335025,111.02790587769063,L4,Nr5a1,EXC,16411,L5,Pvalb,INH,16409,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2740984829411442,-0.23443572888329647,-0.1511878420197269,-70.0,25.0,50.0,100.0,125.0
264,mouse,VISp,13.58768731537146,113.62870035690659,L4,Pvalb,INH,16416,L23,Nr5a1,EXC,16413,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.1354714233059775,-0.47006043520880214,-0.22103339547159018,-55.0,0.0,25.0,100.0,125.0
265,mouse,VISp,79.0130743101961,13.778265925413596,L23,Nr5a1,EXC,16417,L23,Nr5a1,EXC,16413,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.10491595778778695,0.02826043090572154,0.023751165854612392,-70.0,75.0,100.0,0.0,25.0
266,mouse,VISp,7.898497223421864,49.78979147919379,L5,Sst,INH,16421,L4,Sim1,EXC,16422,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.497722873927791,0.19205659426580818,0.08395381070682031,-55.0,0.0,25.0,25.0,50.0
267,mouse,VISp,7.898497223421864,49.78979147919379,L4,Sim1,EXC,16422,L5,Sst,INH,16421,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.054849001549840355,0.13134519740803052,0.23161308802931563,-70.0,0.0,25.0,25.0,50.0
268,mouse,VISp,14.807190390290534,7.861230666740641,L6a,Pvalb,INH,16602,L6a,Pvalb,INH,16603,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.05301402330919048,-0.2870699559181091,-0.069996013641161,-55.0,0.0,25.0,0.0,25.0
269,mouse,VISp,5.879818685626017,64.24936309469659,L23,,EXC,16609,L23,Sst,INH,16610,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.11577659358003219,0.269724123265794,0.3245761041096742,-70.0,0.0,25.0,50.0,75.0
270,mouse,VISp,34.19176099959426,87.32304676771551,L23,,EXC,16609,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.34874164085822656,0.16221720574059534,-0.6276382237989956,-70.0,25.0,50.0,75.0,100.0
271,mouse,VISp,34.19176099959426,87.32304676771551,L23,Sst,INH,16611,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3175327541809122,-0.21521558870828886,0.07172225704884692,-55.0,25.0,50.0,75.0,100.0
272,mouse,VISp,143.0076160101647,11.514808273662897,L23,,EXC,16612,L23,Pvalb,INH,16614,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.12939278688228772,0.21778795541380758,-0.028892288652654828,-70.0,125.0,150.0,0.0,25.0
273,mouse,VISp,68.99397578018532,38.16365055865647,L23,Sst,INH,16613,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.16575495993663514,-0.22862439422433728,0.14353064986324537,-55.0,50.0,75.0,25.0,50.0
274,mouse,VISp,101.94417954354508,49.67509650764067,L23,Sst,INH,16613,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.10921000178726978,-0.04094448619873542,-0.2537261679827757,-55.0,100.0,125.0,25.0,50.0
275,mouse,VISp,61.478462583196574,9.820766448018801,L23,Pvalb,INH,16616,L23,,EXC,16609,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.35270758296163707,-0.7963278949897467,-0.206023257436332,-55.0,50.0,75.0,0.0,25.0
276,mouse,VISp,93.98342643216905,97.81032003014343,L23,Pvalb,INH,16616,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.042365463542715,-0.2623588552479934,0.2930721836899715,-55.0,75.0,100.0,75.0,100.0
277,mouse,VISp,17.651689038149794,4.695234328598198,L23,Sst,INH,16635,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.17896943135210897,-0.604040537655834,-0.09636843627231886,-55.0,0.0,25.0,0.0,25.0
278,mouse,VISp,17.651689038149794,4.695234328598198,L23,Pvalb,INH,16636,L23,Sst,INH,16635,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.024146656021360093,-0.2516341187972444,-0.1426494474850863,-55.0,0.0,25.0,0.0,25.0
279,mouse,VISp,110.9748059785613,8.616267615429674,L23,Pvalb,INH,16636,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.8773975682369554,-1.2547835041804891,-0.6582544940239621,-55.0,100.0,125.0,0.0,25.0
280,mouse,VISp,147.6951916771573,24.66748233217073,L23,Pvalb,INH,16638,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3189322484626956,-0.5642464213816848,-0.2938347357320214,-55.0,125.0,150.0,0.0,25.0
281,mouse,VISp,36.69888702106891,33.204844187781745,L23,Pvalb,INH,16638,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.5511866392123682,-0.7719484119695802,-0.2934715128403518,-55.0,25.0,50.0,25.0,50.0
282,mouse,VISp,112.11508340344663,52.35186460899128,L23,Sst,INH,16650,L23,,EXC,16656,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0722391242320539,-0.2040447004767893,-0.04155214650282081,-55.0,100.0,125.0,50.0,75.0
283,mouse,VISp,9.285010638776498,57.716524035044216,L23,Pvalb,INH,16651,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.052804525254773915,-0.3561160267082295,-0.13838519697420598,-55.0,0.0,25.0,50.0,75.0
284,mouse,VISp,101.74613499506393,110.48897326980735,L23,Pvalb,INH,16651,L23,,EXC,16656,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.246566367054654,-0.7756783149731222,-0.08990226458126543,-55.0,100.0,125.0,100.0,125.0
285,mouse,VISp,112.11508340344663,52.35186460899128,L23,,EXC,16656,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.1319935771298712,0.446248222038906,0.26579455383125117,-70.0,100.0,125.0,50.0,75.0
286,mouse,VISp,101.74613499506393,110.48897326980735,L23,,EXC,16656,L23,Pvalb,INH,16651,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.38936831359341006,-0.45266614614040096,-0.12149979300764369,-70.0,100.0,125.0,100.0,125.0
287,mouse,VISp,23.355279279869322,40.52076068214039,L23,,EXC,16656,L23,Sst,INH,16655,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.33065068811939624,0.609891649854096,0.09467960481446772,-70.0,0.0,25.0,25.0,50.0
288,mouse,VISp,124.2954436730297,9.60338361852932,L23,Sst,INH,16666,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.19656608755981891,-0.2690059134099082,0.03237916938134753,-55.0,100.0,125.0,0.0,25.0
289,mouse,VISp,67.53454340998988,56.790799364194385,L23,Sst,INH,16669,L1,Sst,INH,16670,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.30702977960958955,0.05100623221994469,-0.2519104101491655,-55.0,50.0,75.0,50.0,75.0
290,mouse,VISp,64.98608628836793,117.48923323764922,L1,Sst,INH,16670,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.18610375780916158,-0.43813355904923795,-0.07661357635171415,-55.0,50.0,75.0,100.0,125.0
291,mouse,VISp,30.264504753887017,82.91153908173426,L23,Sst,INH,16680,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0690005943625687,0.0568163559743542,-0.02862731190077017,-55.0,25.0,50.0,75.0,100.0
292,mouse,VISp,88.93650868228394,129.93995427452663,L23,Pvalb,INH,16683,L23,,,16691,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.2039926933148594,-0.16158150789829698,-0.2067868060842744,-55.0,75.0,100.0,125.0,150.0
293,mouse,VISp,46.24561632514156,11.253165830458604,L23,Sst,INH,16685,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.3819506010606505,0.2213209920734263,-0.3125652198672169,-55.0,25.0,50.0,0.0,25.0
294,mouse,VISp,91.35028108179621,47.51552883991456,L5,,INH,16748,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.032169339943152464,-0.3563431900487576,-0.08469749800466746,-55.0,75.0,100.0,25.0,50.0
295,mouse,VISp,83.43270439605037,12.470039733747804,L5,Sst,INH,16751,L5,Sim1,EXC,16749,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.31893999992531896,-0.42225749230649967,-0.10478619026987608,-55.0,75.0,100.0,0.0,25.0
296,mouse,VISp,8.574670093967951,14.827656462826885,L5,Sst,INH,16751,L5,Sim1,EXC,16752,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.14129118873635366,-0.4103252171696962,-0.045630768951636966,-55.0,0.0,25.0,0.0,25.0
297,mouse,VISp,25.611770046526296,34.42135080562436,L5,Sst,INH,16751,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.15871068997417817,-0.3207747426103362,-0.1793176902574487,-55.0,25.0,50.0,25.0,50.0
298,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Sst,INH,16900,L23,Nr5a1,EXC,16904,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.02562634296177357,-0.1452632422391685,0.18819931372375742,-55.0,0.0,25.0,0.0,25.0
299,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Nr5a1,EXC,16904,L23,Sst,INH,16900,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.01303227002731241,0.14479210481208865,0.0655293805129524,-70.0,0.0,25.0,0.0,25.0
300,mouse,VISp,90.76950949056393,123.45914434391784,L5,,INH,17016,L23,Pvalb,INH,17021,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2912977407231889,-0.6978268338188679,-0.2639250490862186,-55.0,75.0,100.0,100.0,125.0
301,mouse,VISp,103.74939813900065,40.653557803901485,L4,,EXC,17416,L5,Sim1,EXC,17413,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.026902729120252156,0.6584912919031932,-0.23039405814408373,-70.0,100.0,125.0,25.0,50.0
302,mouse,VISp,69.50568992834634,25.186231807766845,L4,Nr5a1,EXC,17480,L23,Pvalb,INH,17482,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.053228137571179904,-0.08833316281795148,-0.1566131281337509,-70.0,50.0,75.0,25.0,50.0
303,mouse,VISp,9.734888026929172,18.364637285368808,L23,Pvalb,INH,17482,L4,Nr5a1,EXC,17481,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.029076442570081018,-0.5236351897840251,,-55.0,0.0,25.0,0.0,25.0
304,mouse,VISp,43.60915219670032,107.4397239664411,L5,Pvalb,INH,17488,L23,Nr5a1,EXC,17485,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0783984784814605,-0.12159211506173616,0.08994173681134536,-55.0,25.0,50.0,100.0,125.0
305,mouse,VISp,16.290155606086966,76.67350500681107,L5,Pvalb,INH,17488,L4,Nr5a1,EXC,17490,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08985890634148586,-0.3962958533318216,-0.29442325430910365,-55.0,0.0,25.0,75.0,100.0
306,mouse,VISp,16.290155606086966,76.67350500681107,L4,Nr5a1,EXC,17490,L5,Pvalb,INH,17488,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.03779665835544824,0.1566319654308804,0.009271672888048385,-70.0,0.0,25.0,75.0,100.0
307,mouse,VISp,22.473989152818557,24.162308964148497,L5,Sst,INH,17602,L5,Sst,INH,17603,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.07056887575188486,-0.37067017500476224,-0.17065274510111128,-55.0,0.0,25.0,0.0,25.0
308,mouse,VISp,5.023682615072239,38.480632441177725,L4,Nr5a1,EXC,17615,L5,Nr5a1,EXC,17618,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.24719415018412583,-0.6153922408115355,0.22902501148514107,-70.0,0.0,25.0,25.0,50.0
309,mouse,VISp,116.63842888254308,25.623295862396663,L4,Nr5a1,EXC,17621,L5,Vip,INH,17617,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.12803401866426115,-0.0015959278592988465,0.01305666263893051,-70.0,100.0,125.0,25.0,50.0
310,mouse,VISp,6.649778467790674,81.10141530854615,L5,Pvalb,INH,17652,L4,Nr5a1,EXC,17651,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.4504683952799753,-0.6796524377816848,0.005484516677690808,-55.0,0.0,25.0,75.0,100.0
311,mouse,VISp,53.729988114197404,88.99740165829682,L4,Pvalb,INH,17675,L23,Nr5a1,EXC,17674,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.15147583679107732,,-0.47142888362900814,-55.0,50.0,75.0,75.0,100.0
312,mouse,VISp,41.7832724286538,90.60769331162173,L4,Pvalb,INH,17682,L4,Nr5a1,EXC,17681,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,,,,-55.0,25.0,50.0,75.0,100.0
313,mouse,VISp,70.76782503294824,104.08286403974486,L4,Sim1,EXC,17721,L5,Sst,INH,17724,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.0977533148122147,0.14519895324601867,0.11197112738522916,-70.0,50.0,75.0,100.0,125.0
314,mouse,VISp,99.37076464511131,53.89023645500025,L5,Pvalb,INH,17796,L5,,,17800,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.1450407289993111,-0.27818008776230696,-0.0903479033696143,-55.0,75.0,100.0,50.0,75.0
315,mouse,VISp,25.81930643273739,50.552236203974715,L4,Pvalb,INH,17942,L4,Pvalb,INH,17952,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.07637455444323524,-0.23910692778823403,0.05514899037684025,-55.0,25.0,50.0,50.0,75.0
316,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Vip,INH,19108,L6a,Sst,INH,19111,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.07729489557416011,-0.6954850420470983,-0.002752042495483808,-55.0,25.0,50.0,150.0,175.0
317,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Sst,INH,19111,L6a,Vip,INH,19108,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.4921666970693781,0.5495818455513648,0.3350053386227542,-55.0,25.0,50.0,150.0,175.0
318,mouse,VISp,128.676543487516,95.52095942292121,L4,Sst,INH,19305,L23,Nr5a1,EXC,19301,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3887052482848919,-0.20713875192460862,-0.3181718236613336,-55.0,125.0,150.0,75.0,100.0
319,mouse,VISp,18.875798654720366,80.65923728027974,L5,Sst,INH,19325,L4,Nr5a1,EXC,19326,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.9413570979656248,0.5820796294017934,0.12263695507539357,-55.0,0.0,25.0,75.0,100.0
320,mouse,VISp,94.87586363431605,72.72719540311351,L5,Sst,INH,19325,L4,Nr5a1,EXC,19328,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.19311348110029666,0.2794479727818655,,-55.0,75.0,100.0,50.0,75.0
321,mouse,VISp,18.875798654720366,80.65923728027974,L4,Nr5a1,EXC,19326,L5,Sst,INH,19325,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.04360644125539492,0.16170342950590266,-0.33373172312421195,-70.0,0.0,25.0,75.0,100.0
322,mouse,VISp,16.98008768023499,4.599802270917726,L23,,EXC,19367,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3226381578081484,-0.8364415498214718,-0.09292342298140895,-70.0,0.0,25.0,0.0,25.0
323,mouse,VISp,15.247112961032485,37.31010716432629,L23,,EXC,19368,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.2826330600349154,0.11587197958353065,-0.12883155826498563,-70.0,0.0,25.0,25.0,50.0
324,mouse,VISp,26.984552811598792,23.852804464842873,L23,Nr5a1,EXC,20840,L4,Nr5a1,EXC,20837,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.028928879501080734,0.05959515442409696,-0.026188961454116238,-70.0,25.0,50.0,0.0,25.0
325,mouse,VISp,13.815812078212678,4.815606818407396,L4,Pvalb,INH,21429,L4,Sst,INH,21428,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.08885177656254084,0.14096245176153524,0.2633682622990804,-55.0,0.0,25.0,0.0,25.0
326,mouse,VISp,61.01391541847961,56.62936525784691,L23,Vip,INH,21686,L23,Sst,INH,21691,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2877225471345908,-0.09685980176585833,0.10872528609579848,-55.0,50.0,75.0,50.0,75.0
327,mouse,VISp,49.2214149388678,60.365119443150846,L23,Sst,INH,21687,L23,Vip,INH,21686,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.44910167096217896,,,-55.0,25.0,50.0,50.0,75.0
328,mouse,VISp,84.7415957842829,54.9398063260444,L23,Sst,INH,21687,L23,Vip,INH,21692,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.3050862933461241,0.4596788850786695,0.4507007932479933,-55.0,75.0,100.0,50.0,75.0
329,mouse,VISp,30.499422159147898,19.090340843684643,L23,Sst,INH,22093,L23,Vip,INH,22092,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.03325932168708311,0.3226076649509694,,-55.0,25.0,50.0,0.0,25.0
330,mouse,VISp,32.44148675646349,45.99545409483662,L23,Vip,INH,22425,L23,Sst,INH,22423,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.12500684854545652,-0.2812570347828441,0.11315158536666511,-55.0,25.0,50.0,25.0,50.0
331,mouse,VISp,15.041640877728145,59.5805292492884,L4,Vip,INH,22438,L23,Sst,INH,22435,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.05551768315541303,0.30531405795103145,0.3813196418626432,-55.0,0.0,25.0,50.0,75.0
332,mouse,VISp,12.695829997908618,10.432323224680205,L23,,INH,22525,L23,Sst,INH,22526,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.37644901617198684,0.23936488626693692,-0.016414962089642063,-55.0,0.0,25.0,0.0,25.0
333,mouse,VISp,124.54559473040075,7.991190620979225,L23,Sst,INH,22542,L23,,,22549,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.17140844005089292,0.2526902291296279,0.4925126293694787,-55.0,100.0,125.0,0.0,25.0
334,mouse,VISp,117.37105677128922,4.640922111041288,L23,,INH,22543,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.5628755849985768,-0.2106674114081657,,-55.0,100.0,125.0,0.0,25.0
335,mouse,VISp,39.5899747121589,70.72465720482913,L23,Sst,INH,22546,L23,Vip,INH,22548,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.07827867302691675,0.5637433540981367,0.4450154995224221,-55.0,25.0,50.0,50.0,75.0
336,mouse,VISp,49.05712758794125,34.271050342243164,L23,,EXC,22737,L23,Sst,INH,22738,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0759928816304454,-0.027056493959424534,-0.015016727754923463,-70.0,25.0,50.0,25.0,50.0
337,mouse,VISp,77.87555624227318,57.548971359760586,L23,Pvalb,INH,23094,L23,Pvalb,INH,23093,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.10438306241845947,0.001862649524284398,-0.04470566475052093,-55.0,75.0,100.0,50.0,75.0
338,mouse,VISp,54.35205848120576,170.30287743436887,L4,Pvalb,INH,23140,L23,Pvalb,INH,23139,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3514069523132525,-0.7533625437849754,-0.248728754909521,-55.0,50.0,75.0,150.0,175.0
339,mouse,VISp,83.92784624510413,1.9241451785512933,L23,Pvalb,INH,23346,L23,Pvalb,INH,23342,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2031952834684197,-0.4567880813627661,-0.4616701767767649,-55.0,75.0,100.0,0.0,25.0
340,mouse,VISp,12.246108036557168,81.99795721459769,L23,Pvalb,INH,23346,L23,Sst,INH,23345,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.0030046935413166136,-0.04791113702104472,,-55.0,0.0,25.0,75.0,100.0
341,mouse,VISp,74.72456490675896,26.114034530030114,L4,Pvalb,INH,23560,L4,Pvalb,INH,23564,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3009995934234308,-0.5651502655751361,-0.016369745023866372,-55.0,50.0,75.0,25.0,50.0
342,mouse,VISp,56.28434863503406,32.2298385844551,L4,Sst,INH,23561,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.48416772226495336,-0.3100792581169862,0.09006142983607832,-55.0,50.0,75.0,25.0,50.0
343,mouse,VISp,68.5831643711781,1.0072152331747268,L4,Sst,INH,23561,L4,Sst,INH,23562,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.13430841456061562,-0.05164315531031671,-0.0274630485212956,-55.0,50.0,75.0,0.0,25.0
344,mouse,VISp,17.43458019360392,58.32799470993985,L4,Sst,INH,23561,L4,Pvalb,INH,23564,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2938009472859183,-0.35772184196353846,-0.11164876084276343,-55.0,0.0,25.0,50.0,75.0
345,mouse,VISp,153.19605372369128,27.482732723258863,L4,Sst,INH,23563,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.10070689389819533,-0.17280352000567115,-0.007618051812336457,-55.0,150.0,175.0,25.0,50.0
346,mouse,VISp,74.72456490675896,26.114034530030114,L4,Pvalb,INH,23564,L4,Pvalb,INH,23560,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3534444540445235,-0.4017463271979553,-0.033113716915004525,-55.0,50.0,75.0,25.0,50.0
347,mouse,VISp,98.8957220230598,16.530071251741337,L23,Sst,INH,23636,L23,,INH,23633,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,1.0800740824126702,-1.469652391197414,,-55.0,75.0,100.0,0.0,25.0
348,mouse,VISp,120.3976442779565,32.10204716850156,L23,Vip,INH,23652,L4,Sst,INH,23654,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08931844078006304,0.1763562290063771,0.6796356457302317,-55.0,100.0,125.0,25.0,50.0
349,mouse,VISp,65.09977282023434,23.112526111263485,L23,Pvalb,INH,23805,L23,Sst,INH,23806,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.03247200708544451,-0.33211373163020524,,-55.0,50.0,75.0,0.0,25.0
350,mouse,VISp,65.09977282023434,23.112526111263485,L23,Sst,INH,23806,L23,Pvalb,INH,23805,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.09787944597518515,,,-55.0,50.0,75.0,0.0,25.0
351,mouse,VISp,54.817646171129745,11.262275059100464,L5,Tlx3,EXC,24114,L5,Tlx3,EXC,24118,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.015986047231393383,-0.2021885666216794,0.06269796125311691,-70.0,50.0,75.0,0.0,25.0
352,mouse,VISp,43.92520180765729,4.4165150658164425,L5,Tlx3,EXC,24119,L5,Fam84b,EXC,24115,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.05806056989719307,-0.05611296343564784,,-70.0,25.0,50.0,0.0,25.0
353,mouse,VISp,118.08971535664419,20.75217900816692,L23,Sst,INH,24136,L23,Vip,INH,24134,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.008690679279733712,-0.06630757796902005,-0.08550688043355437,-55.0,100.0,125.0,0.0,25.0
354,mouse,VISp,2.4002240742187433,21.069453247617567,L23,Vip,INH,24137,L23,Sst,INH,24136,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08375602634532983,-0.32125221811971855,0.15332527207744268,-55.0,0.0,25.0,0.0,25.0
355,mouse,VISp,30.908689733027437,33.51131898161314,L23,Sst,INH,24246,L23,Pvalb,INH,24248,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.43194643028671054,-0.5151840828763294,-0.010660760142307685,-55.0,25.0,50.0,25.0,50.0
356,mouse,VISp,27.000896623308765,3.602825554672533,L5,Tlx3,EXC,631,L5,,,632,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.09644672248805239,-0.2460430640048864,-0.02793152003439659,-70.0,25.0,50.0,0.0,25.0
357,mouse,VISp,59.23154053750609,19.4970706880217,L5,Tlx3,EXC,1024,L5,Sst,INH,1022,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.17826355732780083,-0.11649882027899278,0.13445806768678775,-70.0,50.0,75.0,0.0,25.0
358,mouse,VISp,3.9634524045076454,19.30882188035309,L4,Pvalb,INH,1976,L4,Tlx3,EXC,1979,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.03326428065990588,-0.34715181892923963,-0.10044125160665344,-55.0,0.0,25.0,0.0,25.0
