,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,Stimulus pulse frequency (Hz),Number of pulses,Interburst interval,Number of bursts,Paired pulse difference,stp induction,stp recovery,Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
194,mouse,VISp,72.54151424951704,31.17926286231126,L5,Pvalb,INH,13174,L5,Nr5a1,EXC,13170,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.1006643132708876,-0.47864531066823396,-0.04901692213037067,-55.0,50.0,75.0,25.0,50.0
195,mouse,VISp,1.1339409394746747,43.58750756806088,L5,,EXC,13175,L5,Pvalb,INH,13174,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.11796017028181226,-0.32043470804574337,-0.053426476016600645,-70.0,0.0,25.0,25.0,50.0
196,mouse,VISp,36.53491077387527,65.6841463617743,L5,,EXC,13192,L5,,INH,13193,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.19211964331625933,-0.2274755501476435,-0.24491352938232558,-70.0,25.0,50.0,50.0,75.0
197,mouse,VISp,131.81463384245689,300.13272320445014,L23,,EXC,13227,L5,Sst,INH,13223,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.006932858524778148,0.01616121859443921,0.5837421402513272,-70.0,125.0,150.0,300.0,325.0
198,mouse,VISp,16.85921808570267,40.51972473831372,L23,,EXC,13453,L23,,EXC,13454,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.07000297913377329,-0.3448228715630894,-0.0727259766507679,-70.0,0.0,25.0,25.0,50.0
199,mouse,VISp,117.54193944728894,52.6786280517999,L23,Vip,INH,13460,L23,,EXC,13453,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.153525293279276,-0.10107850774561189,0.11870719482946733,-55.0,100.0,125.0,50.0,75.0
200,mouse,VISp,29.417013026072564,74.89297164082808,L4,Nr5a1,EXC,13574,L23,Nr5a1,EXC,13575,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.3849609378196754,-0.10715471283516256,-0.3772185536325171,-70.0,25.0,50.0,50.0,75.0
201,mouse,VISp,20.227178265671597,52.78649572427356,L23,Sst,INH,13653,L23,,EXC,13652,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.1053808355303654,-0.07644119025875531,0.03891451945535876,-55.0,0.0,25.0,50.0,75.0
202,mouse,VISp,11.273061480910446,32.953294673030925,L23,,EXC,13655,L23,Sst,INH,13656,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.31589027030054134,0.45059490768454513,0.29920821536692965,-70.0,0.0,25.0,25.0,50.0
203,mouse,VISp,56.10947038312504,19.110201704199568,L23,,EXC,13655,L23,,INH,13657,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.09643126381701145,-0.08554271143376599,-0.05630921646633314,-70.0,50.0,75.0,0.0,25.0
204,mouse,VISp,56.10947038312504,19.110201704199568,L23,,INH,13657,L23,,EXC,13655,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08234756170230687,-0.004468820880464536,0.22779261104498755,-55.0,50.0,75.0,0.0,25.0
205,mouse,VISp,6.299538862756938,15.768238519461095,L23,,EXC,13826,L23,,INH,13827,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.05827596679885691,0.17923248395583383,0.20399589654752065,-70.0,0.0,25.0,0.0,25.0
206,mouse,VISp,6.391603358219036,39.8653740562058,L23,,INH,13827,L23,,EXC,13828,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.40200044278811287,-0.5232365497431191,0.06324411644808273,-55.0,0.0,25.0,25.0,50.0
207,mouse,VISp,0.20177596508016213,55.65403124536372,L23,,EXC,13828,L23,,EXC,13826,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.022555011009450454,-0.014349232479160905,0.05266553001473707,-70.0,0.0,25.0,50.0,75.0
208,mouse,VISp,126.7936404736578,70.82662142864633,L5,Vip,INH,14262,L5,Sst,INH,14264,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.12505377194912026,-0.12221580218162147,0.02879446779737187,-55.0,125.0,150.0,50.0,75.0
209,mouse,VISp,27.6676006247929,48.42682133123013,L23,,EXC,14402,L23,,EXC,14403,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.09311585859206782,0.10749846725216575,0.052547725690276714,-70.0,25.0,50.0,25.0,50.0
210,mouse,VISp,53.17639182073048,50.65954524675631,L6a,Pvalb,INH,14809,L5,Pvalb,INH,14808,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.5089126907137753,-0.9572817940248661,-0.5223566015834212,-55.0,50.0,75.0,50.0,75.0
211,mouse,VISp,21.862346570784272,105.1700573455623,L5,Pvalb,INH,14902,L4,Pvalb,INH,14904,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.8273130700241089,-0.8273141311824184,-0.08068768618576896,-55.0,0.0,25.0,100.0,125.0
212,mouse,VISp,13.220759643333443,89.1497305080794,L5,Pvalb,INH,14903,L4,Pvalb,INH,14904,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.45917004204581646,-0.580276100695127,-0.3328625734531416,-55.0,0.0,25.0,75.0,100.0
213,mouse,VISp,13.220759643333443,89.1497305080794,L4,Pvalb,INH,14904,L5,Pvalb,INH,14903,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08281242710064632,-0.6885165394511082,,-55.0,0.0,25.0,75.0,100.0
214,mouse,VISp,29.644927327059158,40.89405928069973,L5,Tlx3,EXC,14922,L4,Tlx3,EXC,14921,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.12479903429925526,0.01569549216723888,-0.36092636017569957,-70.0,25.0,50.0,25.0,50.0
215,mouse,VISp,23.886548501699238,39.2293801018568,L5,Tlx3,EXC,14926,L5,Fam84b,EXC,14925,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.186287620353312,-0.44926589326915567,-0.2614161170557453,-70.0,0.0,25.0,25.0,50.0
216,mouse,VISp,93.6098229330198,104.22287699146774,L4,Tlx3,EXC,14927,L5,Fam84b,EXC,14924,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.15296184558293796,0.5539505252037089,-0.7055882936549319,-70.0,75.0,100.0,100.0,125.0
217,mouse,VISp,37.066467804060295,70.29580305352914,L5,Sim1,EXC,15013,L5,,EXC,15012,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.058269822490947,-0.04905510663735804,0.325142373613478,-70.0,25.0,50.0,50.0,75.0
218,mouse,VISp,93.46356415191258,71.74777990343135,L5,Sim1,EXC,15013,L5,Sim1,EXC,15014,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.1200530833093397,0.3239553633375412,-0.08547032666673875,-70.0,75.0,100.0,50.0,75.0
219,mouse,VISp,32.25827092597826,51.93456109601942,L4,Vip,INH,15148,L5,Vip,INH,15141,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.0319784419350069,0.004690407045637823,-0.18619561457092232,-55.0,25.0,50.0,50.0,75.0
220,mouse,VISp,32.5048258891473,44.12913568739163,L23,Nr5a1,EXC,15171,L4,Sst,INH,15173,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.3210853601288513,0.7115367018183391,0.09715623757171793,-70.0,25.0,50.0,25.0,50.0
221,mouse,VISp,23.7936566756596,49.56439808623545,L4,Nr5a1,EXC,15172,L23,Nr5a1,EXC,15171,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.09180191278971311,-0.1649576193377031,-0.13626218475060947,-70.0,0.0,25.0,25.0,50.0
222,mouse,VISp,34.1291248128236,33.639998091716784,L4,Sst,INH,15174,L4,Nr5a1,EXC,15172,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.05124932406881385,-0.013779643964944625,0.26351058603064037,-55.0,25.0,50.0,25.0,50.0
223,mouse,VISp,34.779268380457204,48.7234610364465,L6a,Sst,INH,15327,L6a,Ntsr1,EXC,15326,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.11814298832121051,0.19526142296659074,0.11019749525146857,-55.0,25.0,50.0,25.0,50.0
224,mouse,VISp,231.85285697278724,52.23410588271178,L23,,EXC,15672,L23,,EXC,15668,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.3280557157135052,0.22497715171674182,0.14853125903980866,-70.0,225.0,250.0,50.0,75.0
225,mouse,VISp,40.25508651405675,66.17188962781574,L1,,INH,15679,L23,,EXC,15678,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.08427632129238317,-0.31363123037596113,-0.07611755024522933,-55.0,25.0,50.0,50.0,75.0
226,mouse,VISp,9.884147009647888,97.33664700477225,L5,Sst,INH,15715,L4,Vip,INH,15714,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.21967272772029967,-0.08219242514205348,,-55.0,0.0,25.0,75.0,100.0
227,mouse,VISp,146.04329878015304,157.08710880320822,L5,Sst,INH,15922,L4,Nr5a1,EXC,15925,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.06238473942597544,-0.4463229932635732,-0.22327636514382676,-55.0,125.0,150.0,150.0,175.0
228,mouse,VISp,27.04236831032937,33.8887488610675,L4,Nr5a1,EXC,15955,L23,Sst,INH,15957,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.008226648924040687,0.23508301137716917,0.05150996649744571,-70.0,25.0,50.0,25.0,50.0
229,mouse,VISp,66.83889961651954,39.248568677760076,L4,Sst,INH,15963,L23,Vip,INH,15964,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.03321141498590387,0.4621430744591597,0.02983004511450274,-55.0,50.0,75.0,25.0,50.0
