,firing rate (Hz),temporal frequency (Hz),stimulus orientation (degrees),region,spiking class,layer,citation,dataset
72,1.1685825102085587,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
73,23.239919084838576,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
74,0.6188175565422596,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
75,0.3781957942129517,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
76,0.3803204896860582,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
77,6.954128283477478,optimal,optimal,VISrl,FS,,siegle_survey_2019,Siegle2019
78,1.076689430996704,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
79,9.22011600554553,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
80,0.8270377129066937,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
81,8.150863008704697,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
82,1.560057651128426,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
83,4.516040228087803,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
84,0.523737434120745,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
85,0.0956112962897911,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
86,0.2868338888693735,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
87,0.2581504999824361,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
88,0.3346395370142691,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
89,0.5301115205400644,optimal,optimal,VISrl,RS,,siegle_survey_2019,Siegle2019
90,0.0366519825221959,optimal,optimal,MB,FS,,siegle_survey_2019,Siegle2019
91,1.3513426599487912,optimal,optimal,MB,FS,,siegle_survey_2019,Siegle2019
92,0.265594076247797,optimal,optimal,SCig,FS,,siegle_survey_2019,Siegle2019
93,0.0584306967745153,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
94,13.8523246407801,optimal,optimal,CA1,FS,,siegle_survey_2019,Siegle2019
95,11.5496239997117,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
96,14.054176138728426,optimal,optimal,VISam,FS,L5,siegle_survey_2019,Siegle2019
97,0.2454089264529644,optimal,optimal,VISam,RS,L5,siegle_survey_2019,Siegle2019
98,0.0908331740767465,optimal,optimal,VISam,RS,L3,siegle_survey_2019,Siegle2019
99,0.3102138810574269,optimal,optimal,MB,FS,,siegle_survey_2019,Siegle2019
100,2.483835801069397,optimal,optimal,VIS,RS,L5,siegle_survey_2019,Siegle2019
101,0.8791163923802081,optimal,optimal,VIS,RS,L4,siegle_survey_2019,Siegle2019
102,0.065336142756958,optimal,optimal,VIS,RS,L2,siegle_survey_2019,Siegle2019
103,7.224158873940079,optimal,optimal,LP,FS,,siegle_survey_2019,Siegle2019
104,0.3596143792395171,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
105,5.673089468652944,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
106,4.660113661843846,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
107,2.139094690099757,optimal,optimal,DG,FS,,siegle_survey_2019,Siegle2019
108,6.791771717808665,optimal,optimal,DG,RS,,siegle_survey_2019,Siegle2019
109,0.9805733295068664,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
110,5.801637001556878,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
111,0.3521777451045788,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
112,23.087030671916,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
113,4.9071161527542975,optimal,optimal,VISp,RS,L5,siegle_survey_2019,Siegle2019
114,4.145392342075615,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
115,2.0190461676357527,optimal,optimal,VISl,RS,L5,siegle_survey_2019,Siegle2019
116,3.0399897967322844,optimal,optimal,APN,FS,,siegle_survey_2019,Siegle2019
117,5.961524635458051,optimal,optimal,CA3,RS,,siegle_survey_2019,Siegle2019
118,3.544087353450603,optimal,optimal,VISal,RS,L5,siegle_survey_2019,Siegle2019
119,0.3803307171868453,optimal,optimal,VISal,RS,L5,siegle_survey_2019,Siegle2019
120,1.4623609838203702,optimal,optimal,VISal,RS,L3,siegle_survey_2019,Siegle2019
121,0.1508574353087487,optimal,optimal,VISal,RS,L3,siegle_survey_2019,Siegle2019
122,7.081267283658613,optimal,optimal,CA1,RS,,siegle_survey_2019,Siegle2019
