sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,max distance (um),max horizontal distance (um),Slice thickness (um),dataset
29,L23,L23,BP,NGC,0.0,250,150,300,Jiang2016
55,L23,L23,BP,BTC,0.0,250,150,300,Jiang2016
32,L23,L23,BP,BP,0.0,250,150,300,Jiang2016
14,L23,L23,BP,DBC,0.0,250,150,300,Jiang2016
47,L23,L23,BP,LBC,0.0,250,150,300,Jiang2016
5,L23,L23,BP,CHC,0.0,250,150,300,Jiang2016
47,L23,L23,BP,PC,0.0,250,150,300,Jiang2016
29,L23,L5,BP,MC,0.3103448275862069,250,150,300,Jiang2016
7,L23,L5,BP,NGC,0.0,250,150,300,Jiang2016
35,L23,L5,BP,LBC,0.0285714285714285,250,150,300,Jiang2016
33,L23,L5,BP,SC,0.0,250,150,300,Jiang2016
17,L23,L5,BP,HEC,0.0,250,150,300,Jiang2016
17,L23,L5,DBC,DC,0.0,250,150,300,Jiang2016
68,L23,L5,DBC,PC,0.0,250,150,300,Jiang2016
28,L23,L1,DBC,SBC-like,0.0,250,150,300,Jiang2016
13,L23,L1,DBC,eNGC,0.0,250,150,300,Jiang2016
22,L23,L23,DBC,MC,0.0,250,150,300,Jiang2016
23,L23,L23,DBC,NGC,0.0,250,150,300,Jiang2016
20,L23,L23,DBC,BTC,0.05,250,150,300,Jiang2016
14,L23,L23,DBC,BP,0.2142857142857142,250,150,300,Jiang2016
38,L23,L23,DBC,DBC,0.4473684210526316,250,150,300,Jiang2016
45,L23,L23,DBC,LBC,0.1777777777777777,250,150,300,Jiang2016
5,L23,L23,DBC,CHC,0.0,250,150,300,Jiang2016
34,L23,L23,DBC,PC,0.3823529411764705,250,150,300,Jiang2016
30,L23,L5,DBC,MC,0.0,250,150,300,Jiang2016
7,L23,L5,DBC,NGC,0.0,250,150,300,Jiang2016
10,L23,L5,DBC,LBC,0.0,250,150,300,Jiang2016
7,L23,L5,DBC,SC,0.0,250,150,300,Jiang2016
10,L23,L5,DBC,HEC,0.0,250,150,300,Jiang2016
6,L23,L5,DBC,DC,0.0,250,150,300,Jiang2016
37,L23,L5,DBC,PC,0.1351351351351351,250,150,300,Jiang2016
72,L23,L1,LBC,SBC-like,0.0,250,150,300,Jiang2016
41,L23,L1,LBC,eNGC,0.024390243902439,250,150,300,Jiang2016
88,L23,L23,LBC,MC,0.1818181818181818,250,150,300,Jiang2016
87,L23,L23,LBC,NGC,0.0114942528735632,250,150,300,Jiang2016
70,L23,L23,LBC,BTC,0.1142857142857142,250,150,300,Jiang2016
47,L23,L23,LBC,BP,0.0425531914893617,250,150,300,Jiang2016
45,L23,L23,LBC,DBC,0.1333333333333333,250,150,300,Jiang2016
359,L23,L23,LBC,LBC,0.467966573816156,250,150,300,Jiang2016
22,L23,L23,LBC,CHC,0.1363636363636363,250,150,300,Jiang2016
213,L23,L23,LBC,PC,0.352112676056338,250,150,300,Jiang2016
123,L23,L5,LBC,MC,0.008130081300813,250,150,300,Jiang2016
18,L23,L5,LBC,NGC,0.0,250,150,300,Jiang2016
110,L23,L5,LBC,LBC,0.1363636363636363,250,150,300,Jiang2016
52,L23,L5,LBC,SC,0.0192307692307692,250,150,300,Jiang2016
72,L23,L5,LBC,HEC,0.0416666666666666,250,150,300,Jiang2016
24,L23,L5,LBC,DC,0.0,250,150,300,Jiang2016
185,L23,L5,LBC,PC,0.0594594594594594,250,150,300,Jiang2016
23,L23,L1,CHC,SBC-like,0.0,250,150,300,Jiang2016
19,L23,L1,CHC,eNGC,0.0,250,150,300,Jiang2016
11,L23,L23,CHC,MC,0.0,250,150,300,Jiang2016
15,L23,L23,CHC,NGC,0.0,250,150,300,Jiang2016
15,L23,L23,CHC,BTC,0.0,250,150,300,Jiang2016
5,L23,L23,CHC,BP,0.0,250,150,300,Jiang2016
5,L23,L23,CHC,DBC,0.0,250,150,300,Jiang2016
23,L23,L23,CHC,LBC,0.0,250,150,300,Jiang2016
16,L23,L23,CHC,CHC,0.375,250,150,300,Jiang2016
16,L23,L23,CHC,PC,0.3125,250,150,300,Jiang2016
12,L23,L5,CHC,MC,0.0,250,150,300,Jiang2016
10,L23,L5,CHC,NGC,0.0,250,150,300,Jiang2016
11,L23,L5,CHC,LBC,0.0,250,150,300,Jiang2016
6,L23,L5,CHC,SC,0.0,250,150,300,Jiang2016
4,L23,L5,CHC,HEC,0.0,250,150,300,Jiang2016
8,L23,L5,CHC,DC,0.0,250,150,300,Jiang2016
14,L23,L5,CHC,PC,0.0,250,150,300,Jiang2016
69,L23,L1,PC,SBC-like,0.0144927536231884,250,150,300,Jiang2016
57,L23,L1,PC,eNGC,0.0,250,150,300,Jiang2016
106,L23,L23,PC,MC,0.1886792452830188,250,150,300,Jiang2016
68,L23,L23,PC,NGC,0.0,250,150,300,Jiang2016
60,L23,L23,PC,BTC,0.2,250,150,300,Jiang2016
47,L23,L23,PC,BP,0.0,250,150,300,Jiang2016
32,L23,L23,PC,DBC,0.0,250,150,300,Jiang2016
211,L23,L23,PC,LBC,0.1943127962085308,250,150,300,Jiang2016
9,L23,L23,PC,CHC,0.0,250,150,300,Jiang2016
112,L23,L23,PC,PC,0.0178571428571428,250,150,300,Jiang2016
89,L23,L5,PC,MC,0.1123595505617977,250,150,300,Jiang2016
11,L23,L5,PC,NGC,0.0,250,150,300,Jiang2016
63,L23,L5,PC,LBC,0.0793650793650793,250,150,300,Jiang2016
35,L23,L5,PC,SC,0.0,250,150,300,Jiang2016
40,L23,L5,PC,HEC,0.075,250,150,300,Jiang2016
19,L23,L5,PC,DC,0.1578947368421052,250,150,300,Jiang2016
149,L23,L5,PC,PC,0.0402684563758389,250,150,300,Jiang2016
43,L5,L1,MC,SBC-like,0.2790697674418604,250,150,300,Jiang2016
51,L5,L1,MC,eNGC,0.2549019607843137,250,150,300,Jiang2016
133,L5,L23,MC,MC,0.0,250,150,300,Jiang2016
44,L5,L23,MC,NGC,0.25,250,150,300,Jiang2016
64,L5,L23,MC,BTC,0.296875,250,150,300,Jiang2016
29,L5,L23,MC,BP,0.3103448275862069,250,150,300,Jiang2016
30,L5,L23,MC,DBC,0.3,250,150,300,Jiang2016
123,L5,L23,MC,LBC,0.2520325203252032,250,150,300,Jiang2016
11,L5,L23,MC,CHC,0.2727272727272727,250,150,300,Jiang2016
100,L5,L23,MC,PC,0.21,250,150,300,Jiang2016
92,L5,L5,MC,MC,0.0,250,150,300,Jiang2016
11,L5,L5,MC,NGC,0.3636363636363636,250,150,300,Jiang2016
75,L5,L5,MC,LBC,0.3466666666666667,250,150,300,Jiang2016
44,L5,L5,MC,SC,0.3409090909090909,250,150,300,Jiang2016
33,L5,L5,MC,HEC,0.3333333333333333,250,150,300,Jiang2016
23,L5,L5,MC,DC,0.3478260869565217,250,150,300,Jiang2016
114,L5,L5,MC,PC,0.2105263157894736,250,150,300,Jiang2016
12,L5,L1,NGC,SBC-like,0.0,250,150,300,Jiang2016
7,L5,L1,NGC,eNGC,0.0,250,150,300,Jiang2016
22,L5,L23,NGC,MC,0.2727272727272727,250,150,300,Jiang2016
13,L5,L23,NGC,NGC,0.3076923076923077,250,150,300,Jiang2016
9,L5,L23,NGC,BTC,0.3333333333333333,250,150,300,Jiang2016
10,L5,L23,NGC,BP,0.3,250,150,300,Jiang2016
7,L5,L23,NGC,DBC,0.2857142857142857,250,150,300,Jiang2016
18,L5,L23,NGC,LBC,0.3333333333333333,250,150,300,Jiang2016
