firing rate (Hz),region,spiking class,citation,dataset
0.376837549385901,MB,FS,siegle_survey_2019,Siegle2019
2.23870629855561,VIS,RS,siegle_survey_2019,Siegle2019
1.08770363392464,VIS,RS,siegle_survey_2019,Siegle2019
0.203250027743017,VIS,RS,siegle_survey_2019,Siegle2019
7.75179931187874,LP,FS,siegle_survey_2019,Siegle2019
0.512709408793558,DG,RS,siegle_survey_2019,Siegle2019
7.08874271064572,DG,RS,siegle_survey_2019,Siegle2019
4.41684375782156,DG,FS,siegle_survey_2019,Siegle2019
3.27073946508304,DG,FS,siegle_survey_2019,Siegle2019
7.0743705383515,DG,RS,siegle_survey_2019,Siegle2019
0.8665094799511,CA1,RS,siegle_survey_2019,Siegle2019
5.87709723503359,CA1,RS,siegle_survey_2019,Siegle2019
0.534522492984774,CA1,RS,siegle_survey_2019,Siegle2019
20.4461988687673,CA1,RS,siegle_survey_2019,Siegle2019
7.83405706394562,VISp,RS,siegle_survey_2019,Siegle2019
4.01464344918562,CA1,RS,siegle_survey_2019,Siegle2019
1.74372887536735,VISl,RS,siegle_survey_2019,Siegle2019
1.38618647218268,APN,FS,siegle_survey_2019,Siegle2019
4.6703789376295,CA3,RS,siegle_survey_2019,Siegle2019
4.51181605251834,VISal,RS,siegle_survey_2019,Siegle2019
1.38814786203757,VISal,RS,siegle_survey_2019,Siegle2019
1.56281479016783,VISal,RS,siegle_survey_2019,Siegle2019
0.274594579684684,VISal,RS,siegle_survey_2019,Siegle2019
8.20178122250774,CA1,RS,siegle_survey_2019,Siegle2019
23.8648386582716,CA1,FS,siegle_survey_2019,Siegle2019
2.39660923362852,CA1,RS,siegle_survey_2019,Siegle2019
0.98372380954925,CA1,RS,siegle_survey_2019,Siegle2019
2.65604071544035,LP,FS,siegle_survey_2019,Siegle2019
0.151904536929717,LP,RS,siegle_survey_2019,Siegle2019
1.25568739847438,DG,RS,siegle_survey_2019,Siegle2019
3.25343963712891,DG,RS,siegle_survey_2019,Siegle2019
2.82338054168668,VISrl,RS,siegle_survey_2019,Siegle2019
3.95835333267803,VISrl,RS,siegle_survey_2019,Siegle2019
0.145348021664694,VISam,RS,siegle_survey_2019,Siegle2019
6.21169267236146,VISrl,RS,siegle_survey_2019,Siegle2019
3.10941242026422,VISrl,RS,siegle_survey_2019,Siegle2019
0.225461674293722,VISrl,RS,siegle_survey_2019,Siegle2019
0.232061591104964,VISrl,RS,siegle_survey_2019,Siegle2019
4.27594271536613,grey,RS,siegle_survey_2019,Siegle2019
2.70140295406901,grey,RS,siegle_survey_2019,Siegle2019
7.88658105960148,grey,RS,siegle_survey_2019,Siegle2019
3.07622378819681,grey,RS,siegle_survey_2019,Siegle2019
7.5952624998547,grey,RS,siegle_survey_2019,Siegle2019
8.71419297656038,grey,RS,siegle_survey_2019,Siegle2019
1.45986078819433,APN,FS,siegle_survey_2019,Siegle2019
13.4547046350159,APN,FS,siegle_survey_2019,Siegle2019
6.58739004807577,grey,RS,siegle_survey_2019,Siegle2019
