,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,synaptic conductance (nS),reversal potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
382,mouse,VISp,24.51458203974824,11.138138536867096,L5,Rorb,EXC,3864,L5,Rorb,EXC,3865,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.048169568995342,-6.510444849872794,0.0,25.0,0.0,25.0
383,mouse,VISp,32.84472709953535,68.5024644153554,L5,Rorb,EXC,3864,L5,,,3866,AISynphys,Accessed on 2025-07-07 00:00:007,True,-18.27082294626903,-0.42589230386393107,25.0,50.0,50.0,75.0
384,mouse,VISp,8.670919946134477,57.41088040169492,L5,Rorb,EXC,3865,L5,,,3866,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.1424114510647985,684.1329741287261,0.0,25.0,50.0,75.0
385,mouse,VISp,11.610577031079744,116.19636766683088,L5,,INH,3867,L5,Rorb,EXC,3865,AISynphys,Accessed on 2025-07-07 00:00:007,True,-24.017967149290545,-70.220056930475,0.0,25.0,100.0,125.0
386,mouse,VISp,30.62445649527425,23.751101567486558,L5,Sst,INH,3874,L5,Sst,INH,3875,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.11222985841319,-71.42159511121818,25.0,50.0,0.0,25.0
387,mouse,VISp,11.052412592332608,18.55460555384717,L6a,Slc17a8,EXC,4000,L6a,Slc17a8,EXC,4007,AISynphys,Accessed on 2025-07-07 00:00:007,True,16.26713831644159,-90.88342947733233,0.0,25.0,0.0,25.0
388,mouse,VISp,64.47479679302626,92.61727164788418,L6a,Slc17a8,EXC,4048,L6a,,,4042,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001507404771663403,40773.48119361191,50.0,75.0,75.0,100.0
389,mouse,VISp,66.20407268927205,68.36022976734039,L5,,INH,4105,L5,Rorb,EXC,4103,AISynphys,Accessed on 2025-07-07 00:00:007,True,-18.230299296278954,-75.0684305420547,50.0,75.0,50.0,75.0
390,mouse,VISp,32.144308203808244,41.4495556255864,L5,,INH,4376,L4,Rorb,EXC,4375,AISynphys,Accessed on 2025-07-07 00:00:007,True,-31.99917907770127,-70.88974142441795,25.0,50.0,25.0,50.0
391,mouse,VISp,29.20366778277968,38.520584211990375,L5,Tlx3,EXC,4432,L5,Sst,INH,4441,AISynphys,Accessed on 2025-07-07 00:00:007,True,-10.340605468533202,-30.241947694168385,25.0,50.0,25.0,50.0
392,mouse,VISp,76.56498387816764,14.300299916642276,L5,Tlx3,EXC,4435,L5,Sst,INH,4441,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.1275090974260247,-39.723019208224585,75.0,100.0,0.0,25.0
393,mouse,VISp,29.20366778277968,38.520584211990375,L5,Sst,INH,4441,L5,Tlx3,EXC,4432,AISynphys,Accessed on 2025-07-07 00:00:007,True,-34.81667147539097,-71.06868890813413,25.0,50.0,25.0,50.0
