ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915957731,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915957736,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957739,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957748,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915957769,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915957794,1200.0,grey,,FS,siegle_survey_2019,Siegle2019
915957872,200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957896,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957921,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957926,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958808,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958814,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957936,700.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957941,800.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957946,500.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957951,1000.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957956,1400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957962,500.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957966,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957982,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958006,1900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958010,1900.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958015,2700.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958029,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958048,800.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958052,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958058,3200.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958067,800.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958071,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958083,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958104,2600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958108,1000.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958114,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958147,1200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958167,900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958118,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958151,1200.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958122,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958157,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958162,1200.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958177,1200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958182,1900.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958819,900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958188,900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958207,500.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958211,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958824,200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958932,200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958215,1700.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958230,1900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958234,1100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958830,2000.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958249,800.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958257,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958262,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958273,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958317,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958840,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958353,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958359,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958364,1600.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958937,200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958424,600.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958456,1000.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958490,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958879,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958521,1600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958534,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958634,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915958640,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915958669,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915958787,1100.0,grey,,RS,siegle_survey_2019,Siegle2019
915958835,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958856,900.0,VISpm,,FS,siegle_survey_2019,Siegle2019
915958868,700.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958875,0.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915959039,800.0,grey,,FS,siegle_survey_2019,Siegle2019
915959055,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959099,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959144,1500.0,grey,,RS,siegle_survey_2019,Siegle2019
915961013,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959089,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959104,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959113,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915959133,1100.0,grey,,FS,siegle_survey_2019,Siegle2019
915959138,200.0,grey,,FS,siegle_survey_2019,Siegle2019
