,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,synapses per connection,column radius (um),dataset,citation
0,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
1,L6,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
2,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
3,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
4,L6,L6,DTC,L6tall-a,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
5,L6,L6,DTC,L6tall-c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
6,L6,L6,DTC,L6tall-c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
7,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
8,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
9,L6,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
10,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
11,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
12,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
13,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
14,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
15,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
16,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
17,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
18,L6,L5,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
19,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
20,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
21,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
22,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
23,L6,L4,DTC,ITC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
24,L6,L6,DTC,L6tall-a,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
25,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
26,L6,L6,DTC,L6tall-c,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
27,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
28,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
29,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
30,L6,L5,DTC,L5NP,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
31,L6,L6,DTC,L6tall-a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
32,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
33,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
34,L6,L6,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
35,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
36,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
37,L6,L5,DTC,L5NP,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
38,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
39,L6,L6,DTC,L6tall-a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
40,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
41,L6,L6,DTC,L6tall-a,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
42,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
43,L6,L6,DTC,L6tall-a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
44,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
45,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
46,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
47,L6,L6,DTC,L6tall-a,13,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
48,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
49,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
50,L6,L5,DTC,L5NP,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
51,L6,L5,DTC,L5NP,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
52,L6,L6,DTC,L6tall-a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
53,L6,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
54,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
55,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
56,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
57,L6,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
58,L6,L6,DTC,L6tall-c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
59,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
60,L5,L4,DTC,L4b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
61,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
62,L5,L4,DTC,L4c,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
63,L5,L5,DTC,L5ET,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
64,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
65,L5,L4,DTC,L4c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
66,L5,L4,DTC,L4b,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
67,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
68,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
69,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
70,L5,L3,DTC,L3a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
71,L5,L4,DTC,L4a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
72,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
73,L5,L3,DTC,L3a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
74,L5,L4,DTC,STC,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
75,L5,L5,DTC,L5a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
76,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
77,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
78,L5,L4,DTC,L4c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
79,L5,L4,DTC,L4c,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
80,L5,L4,DTC,L4a,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
81,L5,L4,DTC,L4a,13,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
82,L5,L4,DTC,L4c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
83,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
84,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
85,L5,L4,DTC,L4a,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
86,L5,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
87,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
88,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
89,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
90,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
91,L5,L3,DTC,L3b,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
92,L5,L3,DTC,L3a,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
93,L5,L5,DTC,L5ET,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
94,L5,L5,DTC,L5b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
95,L5,L4,DTC,PTC,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
96,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
97,L5,L5,DTC,L5ET,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
98,L5,L3,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
99,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
100,L5,L5,DTC,L5b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
101,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
102,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
103,L5,L3,DTC,L3a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
104,L5,L4,DTC,L4c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
105,L5,L4,DTC,L4a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
106,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
107,L5,L4,DTC,L4a,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
108,L5,L4,DTC,L4a,16,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
109,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
110,L5,L4,DTC,L4c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
111,L5,L4,DTC,ITC,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
112,L5,L5,DTC,L5a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
113,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
114,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
115,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
116,L5,L4,DTC,L4a,13,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
117,L5,L2,DTC,L2a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
118,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
120,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
121,L5,L4,DTC,L4a,12,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
122,L5,L5,DTC,L5b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
123,L5,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
124,L5,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
125,L5,L3,DTC,L3a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
126,L5,L4,DTC,L4a,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
127,L5,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
128,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
129,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
130,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
131,L5,L5,DTC,L5b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
132,L5,L5,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
133,L5,L5,DTC,L5b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
134,L5,L4,DTC,L4b,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
135,L5,L3,DTC,L3b,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
136,L5,L3,DTC,STC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
137,L5,L4,DTC,L4a,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
138,L5,L4,DTC,L4b,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
139,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
140,L5,L4,DTC,ITC,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
141,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
142,L5,L4,DTC,L4a,12,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
143,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
144,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
145,L5,L4,DTC,L4b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
146,L5,L4,DTC,L4b,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
147,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
148,L5,L5,DTC,L5a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
149,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
150,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
151,L5,L3,DTC,L3a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
152,L5,L4,DTC,L4a,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
153,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
154,L5,L5,DTC,L5b,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
155,L5,L4,DTC,L4c,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
156,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
157,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
158,L5,L4,DTC,L4c,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
159,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
160,L5,L5,DTC,L5b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
161,L5,L4,DTC,ITC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
162,L5,L4,DTC,L4c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
163,L5,L4,DTC,L4b,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
164,L5,L4,DTC,L4a,12,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
165,L5,L4,DTC,L4c,12,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
166,L5,L4,DTC,PTC,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
167,L5,L2,DTC,L2c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
168,L5,L5,DTC,L5ET,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
169,L5,L4,DTC,L4b,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
170,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
171,L5,L5,DTC,L5b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
172,L5,L4,DTC,L4a,14,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
173,L5,L4,DTC,L4a,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
174,L5,L5,DTC,PTC,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
175,L5,L3,DTC,L3a,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
176,L5,L4,DTC,L4b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
177,L5,L3,DTC,L3b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
178,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
179,L5,L3,DTC,L3b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
180,L5,L3,DTC,L3a,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
181,L5,L5,DTC,ITC,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
182,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
183,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
184,L5,L4,DTC,L4a,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
185,L5,L5,DTC,L5b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
186,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
187,L5,L4,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
188,L5,L5,DTC,DTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
189,L5,L3,DTC,L3b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
190,L5,L4,DTC,L4c,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
191,L5,L4,DTC,L4b,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
192,L5,L4,DTC,L4c,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
193,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
194,L5,L4,DTC,L4c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
195,L5,L4,DTC,L4a,15,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
196,L5,L4,DTC,L4b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
197,L5,L4,DTC,L4c,12,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
198,L5,L4,DTC,L4a,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
199,L5,L4,DTC,L4a,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
200,L5,L4,DTC,L4b,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
201,L5,L3,DTC,L3b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
202,L5,L3,DTC,L3b,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
203,L5,L4,DTC,L4c,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
204,L5,L4,DTC,L4a,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
205,L5,L4,DTC,L4a,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
206,L5,L3,DTC,L3a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
207,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
208,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
209,L5,L4,DTC,L4b,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
210,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
211,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
212,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
213,L5,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
214,L5,L4,DTC,L4b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
215,L5,L4,DTC,DTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
216,L5,L3,DTC,STC,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
217,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
218,L5,L4,DTC,L4a,19,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
219,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
220,L5,L4,DTC,L4c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
221,L5,L3,DTC,L3b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
222,L5,L4,DTC,L4c,17,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
223,L5,L3,DTC,L3a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
224,L5,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
225,L5,L5,DTC,L5a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
226,L5,L3,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
227,L5,L4,DTC,L4b,9,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
228,L5,L4,DTC,L4b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
229,L5,L3,DTC,L3a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
230,L5,L4,DTC,L4b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
231,L5,L4,DTC,L4b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
232,L5,L3,DTC,L3a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
233,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
234,L5,L4,DTC,PTC,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
235,L5,L4,DTC,DTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
236,L5,L4,DTC,DTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
237,L5,L4,DTC,L4c,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
238,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
239,L5,L6,DTC,DTC,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
240,L5,L4,DTC,L4b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
241,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
242,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
243,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
244,L5,L6,DTC,L6short-a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
245,L5,L3,DTC,L3a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
246,L5,L4,DTC,L4a,15,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
247,L5,L4,DTC,L4b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
248,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
249,L5,L4,DTC,PTC,13,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
250,L5,L4,DTC,L4b,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
251,L5,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
252,L5,L5,DTC,L5a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
253,L5,L4,DTC,L4c,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
254,L5,L4,DTC,L4b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
255,L5,L5,DTC,L5a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
256,L5,L6,DTC,L6short-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
257,L5,L5,DTC,PTC,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
258,L5,L5,DTC,L5a,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
259,L5,L3,DTC,L3a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
260,L5,L4,DTC,L4a,7,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
261,L5,L4,DTC,L4c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
262,L5,L3,DTC,PTC,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
263,L5,L5,DTC,L5a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
264,L5,L3,DTC,L3b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
265,L5,L4,DTC,L4a,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
266,L5,L4,DTC,L4b,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
268,L5,L5,DTC,DTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
269,L5,L4,DTC,L4a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
270,L5,L4,DTC,L4c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
271,L5,L4,DTC,PTC,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
272,L5,L3,DTC,ITC,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
273,L5,L3,DTC,L3b,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
274,L5,L3,DTC,L3b,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
275,L5,L3,DTC,L3b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
276,L5,L4,DTC,L4c,6,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
277,L5,L4,DTC,PTC,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
278,L5,L4,DTC,ITC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
279,L5,L3,DTC,L3a,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
280,L5,L4,DTC,L4a,10,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
281,L5,L4,DTC,L4b,4,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
282,L5,L3,DTC,L3b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
283,L5,L4,DTC,L4c,11,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
284,L5,L4,DTC,L4b,8,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
285,L5,L5,DTC,PTC,31,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
286,L5,L3,DTC,L3a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
287,L5,L5,DTC,L5b,13,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
