sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,dataset,notes,column radius (um),region
42,L1,L23,NGC,LBC,0.0952380952380952,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
19,L1,L23,NGC,CHC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
59,L1,L23,NGC,PC,0.35593220338983,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
51,L1,L5,NGC,MC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
7,L1,L5,NGC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
51,L1,L5,NGC,LBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
26,L1,L5,NGC,SBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
19,L1,L5,NGC,NBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
18,L1,L5,NGC,BP,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
61,L1,L5,NGC,PC,0.147540983606557,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
