cell_id,depth (um),Schneider-Mizell type,region
298863,335.1535069745768,L4a,VISp
294677,251.82988205871757,L3c,VISp
262655,320.5927858271118,L4a,VISp
292680,143.37121186273836,L3a,VISp
294535,228.34631992234875,L3c,VISp
291124,90.9346731940026,L2a,VISp
291109,118.4085345317691,L2b,VISp
296416,283.27051646831933,L4a,VISp
294684,221.44192284945376,L3c,VISp
296551,262.2443235537227,L3c,VISp
258322,207.3306182546092,L3c,VISp
292648,133.2295417325293,L2b,VISp
262547,328.1253543488492,L4b,VISp
258243,222.285612319984,L3b,VISp
296641,282.1954715759608,L3c,VISp
292842,148.62580209957378,L3a,VISp
258382,208.4488996889482,L3c,VISp
264843,438.6463118691555,L5a,VISp
260603,263.7706639463352,L3c,VISp
298916,323.8819947218173,L4a,VISp
296661,290.489331609743,L4a,VISp
299084,350.2441928598244,L4a,VISp
291099,110.3792956118326,L2a,VISp
298669,347.573068920244,L4b,VISp
256519,140.35003451913897,L2b,VISp
298814,337.73208864007705,L4b,VISp
292659,156.50287523210469,L3a,VISp
256766,133.28159321367502,L2a,VISp
255117,111.69795047675592,L2a,VISp
256517,140.10856342928275,L2a,VISp
294557,207.3885654602429,L3c,VISp
294582,189.9039485302047,L3c,VISp
291177,98.48923582893144,L2a,VISp
262820,328.8417908330987,L4a,VISp
292878,182.9631936117278,L3a,VISp
291175,90.14031862988251,L2a,VISp
292736,164.67797946181918,L3a,VISp
256371,168.45278981583974,L2b,VISp
258290,183.7825771474708,L3c,VISp
294576,204.03880790217823,L3a,VISp
258250,194.42392335999975,L3b,VISp
296628,272.82896546760367,L3b,VISp
260549,294.5192834502291,L3c,VISp
298806,322.4680810080783,L4b,VISp
296554,274.3555944428578,L3c,VISp
296510,297.09078430613306,L4b,VISp
262937,345.027232549867,L4b,VISp
301003,394.39239164043687,L4a,VISp
300931,392.7732782129798,L5b,VISp
301246,396.62375212040826,L4c,VISp
291295,103.31270407969173,L2a,VISp
301224,395.4866848969408,L4c,VISp
262782,326.29104118340047,L4b,VISp
292734,131.2855476372532,L2b,VISp
291119,117.90628616603423,L2b,VISp
260521,281.360973150169,L3c,VISp
256550,155.01133254788047,L2a,VISp
260526,301.28243938328177,L3c,VISp
264719,394.7404801541224,L5a,VISp
264889,392.72209405999047,L4c,VISp
301119,401.58086030452046,L5b,VISp
301220,401.1778016217558,L4c,VISp
260559,282.33136603577566,L4a,VISp
300955,400.8519385087701,L5a,VISp
300958,400.99378651495,L5b,VISp
264928,398.8384078720824,L4c,VISp
301189,400.4241691380786,L4c,VISp
294375,211.1772483240706,L3b,VISp
292676,165.12895667837722,L3a,VISp
296519,293.3992100644441,L4a,VISp
256652,180.23339995642192,L3a,VISp
258372,206.10514170441397,L3c,VISp
255215,113.72838848168246,L2a,VISp
256531,127.4161722969421,L2a,VISp
294669,228.22805534086456,L3b,VISp
296548,274.2162608982157,L4a,VISp
296503,300.1615278436509,L4b,VISp
301240,439.0808151181809,L5b,VISp
294505,217.06492328906975,L3b,VISp
258224,183.35925848108369,L3a,VISp
256532,138.23803670957278,L2b,VISp
258289,242.60507966521945,L3b,VISp
256510,124.11378422821046,L2a,VISp
260643,264.6094687851108,L3c,VISp
262686,332.8976670941869,L4a,VISp
292820,131.03962584309247,L2b,VISp
258299,205.0898937910121,L3a,VISp
256469,119.44794408863744,L2b,VISp
256600,175.24646569186356,L3a,VISp
255214,104.6670521019824,L2b,VISp
256436,144.18819658069768,L2a,VISp
262698,316.6962139849027,L4a,VISp
296742,274.7066886406642,L4b,VISp
256466,154.09241292464873,L3a,VISp
260543,293.8172398726808,L4b,VISp
258113,204.07548403145617,L3b,VISp
262886,326.4169356189416,L4a,VISp
258225,199.19557141712272,L3c,VISp
294584,229.00417316031644,L3b,VISp
256664,153.12730889719236,L3a,VISp
296785,274.08874797686,L4a,VISp
291208,116.36714270496876,L2a,VISp
292829,138.47826489244343,L2b,VISp
296377,280.52609861880416,L4a,VISp
260617,312.0597378775027,L4a,VISp
294579,246.5715058057923,L3c,VISp
260649,273.3759532173796,L3c,VISp
262881,348.2663267329375,L4a,VISp
256423,148.3523952208734,L2a,VISp
262775,325.9269126296326,L4a,VISp
292655,174.94126678889606,L3a,VISp
258316,239.73095218976275,L3b,VISp
300969,392.4081380397347,L5b,VISp
292743,158.73423571207607,L3a,VISp
262959,317.5472442001043,L4b,VISp
256607,124.4046188720435,L2a,VISp
256511,154.83720182159405,L3a,VISp
260647,285.6969036988476,L4a,VISp
296612,278.2308660344008,L4a,VISp
258231,229.58179649681773,L3b,VISp
292727,155.57123900986358,L2a,VISp
292860,166.1953600972018,L3a,VISp
292881,165.74415159313543,L2a,VISp
256609,123.21873713905964,L2a,VISp
292837,147.74520573900116,L2b,VISp
294667,191.00549606193627,L3b,VISp
292577,124.35042850818922,L2a,VISp
292643,180.23640564054296,L3b,VISp
258229,216.15389398171368,L3c,VISp
258213,244.02769267436955,L3c,VISp
258217,235.04511252838608,L3c,VISp
291299,88.29802867911437,L2a,VISp
296788,299.11073106420264,L4b,VISp
291221,71.86507532993721,L2a,VISp
260542,253.2402410438751,L3c,VISp
291316,105.67547914086282,L2b,VISp
260712,251.54520360119145,L4a,VISp
292682,171.02556222629593,L3a,VISp
258402,213.1428317793984,L3b,VISp
260433,277.6326941316354,L3c,VISp
292747,158.41137828321138,L3a,VISp
258277,236.9452053934671,L3c,VISp
256536,123.39783896654444,L2b,VISp
294546,218.14834971988736,L3c,VISp
262816,369.0426670192189,L4c,VISp
262777,345.0857001523945,L4c,VISp
260745,267.81084657185966,L3c,VISp
256597,157.18029511791363,L2b,VISp
262958,373.3692335842717,L4c,VISp
262534,338.02199866062057,L4a,VISp
296739,276.7134275771411,L4a,VISp
264781,381.57425089062,L4c,VISp
291348,121.15679621925142,L2a,VISp
298950,329.73614405972444,L4a,VISp
262682,371.8520842363977,L4c,VISp
256509,165.56585927192995,L2a,VISp
294671,243.26420445773937,L3b,VISp
258284,206.2623364148949,L3b,VISp
258241,200.18605082072065,L3b,VISp
263073,379.2580358125024,L4c,VISp
264888,396.521990680767,L5b,VISp
294536,193.8381211249813,L3b,VISp
292646,145.97765471835132,L2a,VISp
265033,401.4644168487928,L5b,VISp
294583,215.96438737681555,L3b,VISp
260727,249.4467027226032,L4a,VISp
258245,231.7446607024211,L3b,VISp
256444,164.73361484585692,L3a,VISp
258370,220.3292485569611,L3b,VISp
292711,125.67443005314004,L2a,VISp
256669,125.38767053478234,L3a,VISp
258223,227.8158639619824,L3b,VISp
260509,283.5463805134243,L4a,VISp
294547,192.87446211770853,L3b,VISp
256440,154.8099766721295,L3a,VISp
256468,153.51302681101194,L2b,VISp
298704,347.6349177857217,L4c,VISp
260618,276.6110879187291,L3c,VISp
292684,128.88890001772728,L2a,VISp
292737,176.40916822654765,L3a,VISp
301100,404.1225929018557,L5a,VISp
258202,205.71647592835035,L3b,VISp
265055,394.5219856226241,L4c,VISp
294768,219.47483655206543,L3c,VISp
294539,214.37723891251312,L3b,VISp
299042,316.5460422621409,L4b,VISp
296741,295.8961454558612,L4a,VISp
301203,403.49150223833567,L4c,VISp
260632,300.716434556869,L4a,VISp
291214,114.39543223764468,L2b,VISp
258391,196.27615551316455,L2b,VISp
296528,270.520958462314,L3c,VISp
256595,116.8105192417804,L2b,VISp
296806,292.1460457897675,L4a,VISp
292587,162.50852566920267,L2a,VISp
262942,332.12209831919523,L4b,VISp
296724,294.59168138444096,L4a,VISp
291304,117.31513725098834,L2a,VISp
258216,184.2639008413686,L3a,VISp
299072,356.24940989621626,L4c,VISp
294491,232.41366987546067,L3b,VISp
262670,357.6145382747494,L4a,VISp
262813,358.23837466304167,L4a,VISp
299083,341.9781648418445,L4a,VISp
262887,344.2081672978201,L4a,VISp
258209,222.4222292898904,L3b,VISp
294510,240.9536251690347,L3b,VISp
294378,238.5351282543822,L3c,VISp
294543,233.77509870734772,L3b,VISp
258301,208.3541898845929,L3b,VISp
256367,153.8024164346615,L2b,VISp
256606,145.2330684613476,L3a,VISp
294568,204.7951861349016,L3b,VISp
291113,104.12702951804874,L2a,VISp
260516,249.7800513983249,L3c,VISp
294449,211.63253195361224,L3b,VISp
291318,114.66514009644276,L2a,VISp
255125,114.022517919022,L2b,VISp
258222,196.21497133590157,L3a,VISp
256522,157.5507241493091,L3a,VISp
256529,118.5229552752864,L3a,VISp
300819,406.8720396744464,L5a,VISp
265008,402.605790485244,L5b,VISp
262885,312.9292939467579,L4a,VISp
262946,347.1948943910375,L4a,VISp
256625,137.12940836824495,L2b,VISp
301115,409.3233397060994,L4a,VISp
298914,358.9902730171501,L4a,VISp
294545,219.3900111282298,L3c,VISp
264924,386.9071926080323,L4c,VISp
296634,285.20323898476965,L4a,VISp
292718,170.6991500688497,L2b,VISp
294562,233.9479000572049,L3c,VISp
298773,357.9974526176459,L4a,VISp
260612,302.57436032132387,L4a,VISp
299043,339.47923538578374,L4b,VISp
262700,362.5466466615495,L4c,VISp
260700,248.8157277028376,L4a,VISp
262797,358.7740908339917,L4a,VISp
260690,268.0431849655985,L3b,VISp
292901,168.4999566652309,L2b,VISp
256507,124.83825531965634,L2b,VISp
294691,197.96359174935824,L3a,VISp
