firing rate (Hz),region,layer,spiking class,citation,dataset,stimulus orientation (degrees),temporal frequency (Hz)
0.3803204896860582,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
6.954128283477478,VISrl,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
1.076689430996704,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
9.22011600554553,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.8270377129066937,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
8.150863008704697,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
1.560057651128426,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
4.516040228087803,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.523737434120745,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0956112962897911,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2868338888693735,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2581504999824361,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3346395370142691,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.5301115205400644,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0366519825221959,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
1.3513426599487912,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.265594076247797,SCig,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0584306967745153,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
13.8523246407801,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
11.5496239997117,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
14.054176138728426,VISam,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2454089264529644,VISam,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0908331740767465,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3102138810574269,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
2.483835801069397,VIS,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.8791163923802081,VIS,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.065336142756958,VIS,L2,RS,siegle_survey_2019,Siegle2019,optimal,optimal
7.224158873940079,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3596143792395171,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
5.673089468652944,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
4.660113661843846,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
2.139094690099757,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
6.791771717808665,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.9805733295068664,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
5.801637001556878,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3521777451045788,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
23.087030671916,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
4.9071161527542975,VISp,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
4.145392342075615,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
2.0190461676357527,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
3.0399897967322844,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
5.961524635458051,CA3,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
3.544087353450603,VISal,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3803307171868453,VISal,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
1.4623609838203702,VISal,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1508574353087487,VISal,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
7.081267283658613,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
20.524573293322717,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
3.2142186132636907,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
