firing rate (Hz),region,layer,spiking class,citation,dataset,stimulus orientation (degrees),temporal frequency (Hz)
0.0746326131050415,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1132780015772815,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0970410402238101,VISrl,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2189058058601667,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0822997502327416,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1977087423703196,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0701823221154536,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1309345410654898,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0696130416457175,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1330742635979684,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0605094498541505,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2018081046610287,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4591794316002257,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4685636345574852,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0633212459055826,VISrl,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2645575420316636,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1000158733557207,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1031400397329704,SCig,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2263033438453715,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0128613537272373,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0221796428360027,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0395511068929436,VISam,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.6645174749684738,VISam,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2669839395038618,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1361804136480471,MB,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0561492029748362,VIS,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1275600537362869,VIS,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.170305772771051,VIS,L2,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1497133409196261,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0969871875065414,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0741310065957492,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0670060265044868,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0941978281522904,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0360211929499931,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1921670481020192,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0884176941113008,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1200506271102886,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.014643070840583,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0934567661198027,VISp,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.042018164556545,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.378562687126662,VISl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2026052404500407,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1042722455652514,CA3,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0843976708893008,VISal,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1098700943658885,VISal,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0850894794546959,VISal,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1514923466425956,VISal,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0355357186343306,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0754949036776367,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2298776389632506,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.162005915314679,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0757926751041515,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1527678585422454,LP,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.072142350197974,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0519632690820434,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1972354319600901,VISrl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0979471815006117,VISrl,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3740181951547134,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0512029559677508,VISrl,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1283653202742089,VISrl,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.5058409892844276,VISrl,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0571514412296083,VISrl,L2,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0732422770655065,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1029571480800963,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0399055479333187,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1203646980266504,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0645418182050652,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.047178952007326,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1185344893191712,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0447646634524596,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0191348574567936,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3275889616182246,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2417619040020871,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3305823628399018,APN,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1858026914073648,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0462724499690933,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1942183806605889,VISam,L5,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1846626023812965,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2985593169655915,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1149177119270075,VISam,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.027906621971726,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1852397799063485,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.049691818346498,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1151396855622913,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1328087655576704,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1565162323133168,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1469248677967789,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1606678208172094,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1844386220806303,VISam,L2,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2157368140064067,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.5120643896772997,VISam,L3,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3209868097553163,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0280136469111261,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.026757190523476,APN,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0734607422322682,PO,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0417727528276005,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1156729335631509,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1118988631752404,PO,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0499354445945706,POL,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0858862738474829,LP,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0368153720710591,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0775841705450518,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2477324635748281,POL,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0224062228953315,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2151579820885958,TH,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0914616947019531,LP,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2313412559348492,LP,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1097480643742703,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2195295994989641,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1707106781186547,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3409514563236463,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0240565533479216,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1684110470398394,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0555716500314977,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3816145533305389,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0835004433502616,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1026394767374691,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0139617178636392,LP,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0802956651855803,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2419949725038645,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0153234701908011,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1869663651270358,CA1,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0916654074326401,LGd,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0591427918967977,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0585268360583354,VIS,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4584631359159133,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1801467048399602,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2280630623014843,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.286313078552142,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0375358979362395,VISpm,L5,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2436142522651632,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1108966473867645,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3211966374935879,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1115444515357608,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0870792207752445,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1439649073908467,DG,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3367294377139196,DG,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.083140818109795,VIS,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1696814049364051,VISpm,L4,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.5251652331863296,CA1,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
