,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
153,mouse,VISp,37.3045133171247,59.88356570155482,L6a,Ntsr1,EXC,12069,L6a,Pvalb,INH,12070,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.016382727348566325,0.5648543959451383,1.376645110217303,-70.0,25.0,50.0,50.0,75.0
154,mouse,VISp,136.23449104986213,19.385237069354048,L23,Pvalb,INH,12091,L23,,,12094,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0018717585310442572,1.4192716121478801,1.7680831566168294,-55.0,125.0,150.0,0.0,25.0
155,mouse,VISp,34.06849263879479,172.184644844714,L4,Pvalb,INH,12097,L5,Pvalb,INH,12098,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.012622787560619115,0.6916101404184729,2.408733246553353,-55.0,25.0,50.0,150.0,175.0
156,mouse,VISp,34.06849263879479,172.184644844714,L5,Pvalb,INH,12098,L4,Pvalb,INH,12097,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.007450613097342892,0.815557148879235,3.4684577573816004,-55.0,25.0,50.0,150.0,175.0
157,mouse,VISp,57.088582598531445,4.330128103257705,L23,Sst,INH,12204,L23,,EXC,12209,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0034737680130988895,1.0408331240164868,12.976016621667343,-55.0,50.0,75.0,0.0,25.0
158,mouse,VISp,57.088582598531445,4.330128103257705,L23,,EXC,12209,L23,Sst,INH,12204,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015122765009264638,1.0252192037442147,1.438949729346471,-70.0,50.0,75.0,0.0,25.0
159,mouse,VISp,14.036961436896032,117.66881092906085,L5,Pvalb,INH,12213,L6a,Sst,INH,12214,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.012267090191254918,0.7978664419476064,2.6231521405585294,-55.0,0.0,25.0,100.0,125.0
160,mouse,VISp,3.5290662973912226,41.548795416096,L5,Pvalb,INH,12263,L5,Sim1,EXC,12264,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0133824470967756,1.720931143296288,12.01238704097351,-55.0,0.0,25.0,25.0,50.0
161,mouse,VISp,233.29591207645913,39.11002329918979,L6a,Sst,INH,12325,L5,Ntsr1,EXC,12328,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0008389137006119386,1.8112958438574578,0.9931576797174017,-55.0,225.0,250.0,25.0,50.0
162,mouse,VISp,61.69325016870958,39.52502565958678,L23,,EXC,12329,L23,Sst,INH,12335,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.006748906925925945,1.4672839690946373,3.745845081275503,-70.0,50.0,75.0,25.0,50.0
163,mouse,VISp,16.00398478611695,33.54661384917587,L23,,EXC,12334,L23,Sst,INH,12335,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014758144084718887,1.2770798878879035,3.1091628271485012,-70.0,0.0,25.0,25.0,50.0
164,mouse,VISp,61.69325016870958,39.52502565958678,L23,Sst,INH,12335,L23,,EXC,12329,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003227737028016059,3.072864916212971,2.364393401279646,-55.0,50.0,75.0,25.0,50.0
165,mouse,VISp,3.1379586092989467,87.7300152885329,L4,,EXC,12416,L5,,INH,12415,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.005480885652580298,0.7800270833903474,3.0246826702776923,-70.0,0.0,25.0,75.0,100.0
166,mouse,VISp,22.174613242052978,389.24361958677673,L23,Pvalb,INH,12464,L5,Sim1,EXC,12466,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002012517669475201,0.8227600069105201,7.2153080925820126,-55.0,0.0,25.0,375.0,400.0
167,mouse,VISp,50.95719936017914,27.4929874261967,L23,Pvalb,INH,12474,L23,Pvalb,INH,12476,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.04525892696045345,0.9587078631817453,2.6641792642667315,-55.0,50.0,75.0,25.0,50.0
168,mouse,VISp,140.8134496812639,22.908253087314208,L23,Pvalb,INH,12474,L23,Pvalb,INH,12477,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006982466862585785,2.1258919029394616,8.129858151729671,-55.0,125.0,150.0,0.0,25.0
169,mouse,VISp,88.55999782153975,50.42235601247659,L23,Pvalb,INH,12476,L23,Pvalb,INH,12477,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.02292377266505946,0.9929986483177436,2.8581283584063435,-55.0,75.0,100.0,50.0,75.0
170,mouse,VISp,88.55999782153975,50.42235601247659,L23,Pvalb,INH,12477,L23,Pvalb,INH,12476,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.010076765704171075,0.9008045017342512,5.563665328891351,-55.0,75.0,100.0,50.0,75.0
171,mouse,VISp,91.72412638954599,57.10556550612693,L23,Pvalb,INH,12482,L23,,EXC,12487,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006337896213977429,1.307389951761876,11.854991194330607,-55.0,75.0,100.0,50.0,75.0
172,mouse,VISp,91.72412638954599,57.10556550612693,L23,,EXC,12487,L23,Pvalb,INH,12482,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.018636633045983238,1.6412007176362047,2.621472796971715,-70.0,75.0,100.0,50.0,75.0
