,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
223,mouse,VISp,40.25508651405675,66.17188962781574,L1,,INH,15679,L23,,EXC,15678,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006677354587710836,3.891407784012663,29.67048739718799,-55.0,25.0,50.0,50.0,75.0
224,mouse,VISp,9.884147009647888,97.33664700477225,L5,Sst,INH,15715,L4,Vip,INH,15714,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00042552724456623356,0.10000000000380133,3.657680591557105,-55.0,0.0,25.0,75.0,100.0
225,mouse,VISp,146.04329878015304,157.08710880320822,L5,Sst,INH,15922,L4,Nr5a1,EXC,15925,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0005160287336433748,1.6038066961953572,18.885350760006595,-55.0,125.0,150.0,150.0,175.0
226,mouse,VISp,27.04236831032937,33.8887488610675,L4,Nr5a1,EXC,15955,L23,Sst,INH,15957,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0006140621378563156,2.3538003232950007,4.683817618322878,-70.0,25.0,50.0,25.0,50.0
227,mouse,VISp,66.83889961651954,39.248568677760076,L4,Sst,INH,15963,L23,Vip,INH,15964,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002000917498111285,5.443911281228757,30.766462988631343,-55.0,50.0,75.0,25.0,50.0
228,mouse,VISp,10.840514500465112,187.17151327842373,L23,Vip,INH,15964,L5,Vip,INH,15961,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001796712193931696,2.8264810230199795,15.773616794206143,-55.0,0.0,25.0,175.0,200.0
229,mouse,VISp,83.34799557415057,118.25509941267374,L23,Sst,INH,16021,L23,Vip,INH,16027,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0011168345304126907,3.0973377887837774,12.212330287365003,-55.0,75.0,100.0,100.0,125.0
230,mouse,VISp,9.04316969267341,43.82504158765297,L23,,EXC,16031,L23,Pvalb,INH,16036,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00394385785363661,1.114588744679788,1.9990266986101723,-70.0,0.0,25.0,25.0,50.0
231,mouse,VISp,70.59061572924321,39.73711746435942,L23,,EXC,16040,L23,Pvalb,INH,16035,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0029234240570438458,1.3880319381056334,3.053389645823236,-70.0,50.0,75.0,25.0,50.0
232,mouse,VISp,40.95673124914659,64.91725048117122,L23,,EXC,16040,L23,Pvalb,INH,16036,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0011673340031451733,1.1396124677074329,1.2170819703493163,-70.0,25.0,50.0,50.0,75.0
233,mouse,VISp,13.32258541223444,4.409050517255802,L6a,Pvalb,INH,16045,L6a,Pvalb,INH,16046,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004716333234562846,0.9314915178569785,11.66160489223097,-55.0,0.0,25.0,0.0,25.0
234,mouse,VISp,97.22868419643719,100.87524129413242,L5,Pvalb,INH,16067,L5,Sim1,EXC,16069,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0050618438176401,1.9225619658683266,5.9731184206403825,-55.0,75.0,100.0,100.0,125.0
235,mouse,VISp,97.22868419643719,100.87524129413242,L5,Sim1,EXC,16069,L5,Pvalb,INH,16067,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01721667864433186,0.903289982211488,1.8026632055834417,-70.0,75.0,100.0,100.0,125.0
236,mouse,VISp,151.31911120619924,10.41796782323165,L23,Pvalb,INH,16078,L23,Pvalb,INH,16081,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.012741282623452341,0.8361563251111949,3.310968374851399,-55.0,150.0,175.0,0.0,25.0
237,mouse,VISp,131.40626435794945,30.35531784957403,L23,Pvalb,INH,16081,L23,Sst,INH,16079,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0010871207813097615,0.10010867496547367,3.73821521853893,-55.0,125.0,150.0,25.0,50.0
238,mouse,VISp,81.98824689601753,31.233031289929027,L23,Sst,INH,16082,L23,Pvalb,INH,16081,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009413697135301304,1.5014265934416882,2.560267126525153,-55.0,75.0,100.0,25.0,50.0
239,mouse,VISp,23.512076835925864,17.79579764105869,L23,Vip,INH,16092,L23,Sst,INH,16093,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.1089514597169054e-13,1.1904451541340761,18.52552391694412,-55.0,0.0,25.0,0.0,25.0
240,mouse,VISp,14.251475963836954,28.487505898063038,L4,Pvalb,INH,16216,L4,Pvalb,INH,16217,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0069102760234823,1.4952233991897037,0.7689930486260145,-55.0,0.0,25.0,25.0,50.0
241,mouse,VISp,68.96219449511047,46.93482096246421,L4,Pvalb,INH,16216,L4,Pvalb,INH,16218,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.018136885043499352,0.8255071507236335,2.2454225062424435,-55.0,50.0,75.0,25.0,50.0
242,mouse,VISp,93.92545402322116,17.034960871741454,L4,Pvalb,INH,16217,L4,Pvalb,INH,16213,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0076176382814216416,1.1756518856609441,1.76057254353887,-55.0,75.0,100.0,0.0,25.0
243,mouse,VISp,14.251475963836954,28.487505898063038,L4,Pvalb,INH,16217,L4,Pvalb,INH,16216,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.010326152203937372,0.30514855271620367,1.7648312895317746,-55.0,0.0,25.0,25.0,50.0
244,mouse,VISp,62.49881703461871,138.3995234705425,L6b,Sst,INH,16283,L6a,Vip,INH,16286,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0006633598735885591,1.7731333309039066,6.234068131057076,-55.0,50.0,75.0,125.0,150.0
245,mouse,VISp,64.48272020949182,46.86104070039807,L6a,Sst,INH,16285,L6a,Vip,INH,16286,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0012094099713881458,1.5811364347214432,4.101601398479353,-55.0,50.0,75.0,25.0,50.0
246,mouse,VISp,10.187415861215953,70.98690439511111,L4,Tlx3,EXC,16295,L5,Pvalb,INH,16296,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.015114585012700812,0.6168678217399144,1.5566626817160172,-70.0,0.0,25.0,50.0,75.0
247,mouse,VISp,114.72751995564232,65.41633258566084,L5,Pvalb,INH,16296,L4,Tlx3,EXC,16299,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005258982609476093,0.12712934679452112,0.48866537074811917,-55.0,100.0,125.0,50.0,75.0
248,mouse,VISp,127.62093101147879,85.0774341265854,L5,Pvalb,INH,16296,L4,Tlx3,EXC,16300,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.010133421115145412,1.385889063118538,5.434995147966577,-55.0,125.0,150.0,75.0,100.0
249,mouse,VISp,60.411349799916316,13.68624022119123,L5,Tlx3,EXC,16310,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01086480268908451,1.0716445078292767,1.2603261456565449,-70.0,50.0,75.0,0.0,25.0
250,mouse,VISp,13.415260246827897,22.121540465118542,L5,Tlx3,EXC,16313,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.018930947084889866,0.48200420414774964,1.402980674731077,-70.0,0.0,25.0,0.0,25.0
251,mouse,VISp,22.88998156531201,8.254691419409257,L5,Pvalb,INH,16314,L4,Tlx3,EXC,16315,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008262867870747698,0.783719118544752,18.439614056977845,-55.0,0.0,25.0,0.0,25.0
252,mouse,VISp,22.88998156531201,8.254691419409257,L4,Tlx3,EXC,16315,L5,Pvalb,INH,16314,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.009448079441581348,0.7450279428922989,1.7349671067397565,-70.0,0.0,25.0,0.0,25.0
253,mouse,VISp,53.16983285462406,56.70439664921268,L5,,INH,16360,L5,Pvalb,INH,16361,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002439544208037109,1.330370074843687,1.9221908721304108,-55.0,50.0,75.0,50.0,75.0
254,mouse,VISp,37.64982286480946,2.324865746333374,L4,Nr5a1,EXC,16400,L4,Pvalb,INH,16402,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.037601703154786004,0.8181636191337286,1.2623744436354634,-70.0,25.0,50.0,0.0,25.0
255,mouse,VISp,22.92402775460518,44.5955937579721,L4,Nr5a1,EXC,16400,L23,Pvalb,INH,16404,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0023087306116991034,0.9526931494679756,2.768211496352578,-70.0,0.0,25.0,25.0,50.0
256,mouse,VISp,8.633867510966267,11.471890982879655,L23,Nr5a1,EXC,16403,L23,Pvalb,INH,16404,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00176820659192166,0.8827490609154435,3.5050513175476583,-70.0,0.0,25.0,0.0,25.0
257,mouse,VISp,101.7623487107909,7.123327273361582,L4,Nr5a1,EXC,16406,L4,Nr5a1,EXC,16411,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.419546462514884e-11,2.5887806532970243,6.181035378053138,-70.0,100.0,125.0,0.0,25.0
258,mouse,VISp,63.31263088300969,104.58124694404746,L5,Pvalb,INH,16409,L4,Nr5a1,EXC,16406,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009040130903875695,1.3050771713738007,6.64883698862795,-55.0,50.0,75.0,100.0,125.0
259,mouse,VISp,34.837635283335025,111.02790587769063,L5,Pvalb,INH,16409,L4,Nr5a1,EXC,16411,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.018785772203598856,1.4238779363008662,4.2559399006232095,-55.0,25.0,50.0,100.0,125.0
260,mouse,VISp,34.837635283335025,111.02790587769063,L4,Nr5a1,EXC,16411,L5,Pvalb,INH,16409,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014075068482329082,2.228176047826291,2.637842887382939,-70.0,25.0,50.0,100.0,125.0
261,mouse,VISp,13.58768731537146,113.62870035690659,L4,Pvalb,INH,16416,L23,Nr5a1,EXC,16413,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0038188827443962634,2.6832726256956696,8.286865637433413,-55.0,0.0,25.0,100.0,125.0
262,mouse,VISp,79.0130743101961,13.778265925413596,L23,Nr5a1,EXC,16417,L23,Nr5a1,EXC,16413,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00010251172373573675,0.11786991616253874,0.9721095461745454,-70.0,75.0,100.0,0.0,25.0
263,mouse,VISp,7.898497223421864,49.78979147919379,L5,Sst,INH,16421,L4,Sim1,EXC,16422,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004590971451614531,2.6656775294901505,8.789788492367439,-55.0,0.0,25.0,25.0,50.0
264,mouse,VISp,7.898497223421864,49.78979147919379,L4,Sim1,EXC,16422,L5,Sst,INH,16421,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.82322556479142e-05,1.1304357528139046,1.7074094487133296,-70.0,0.0,25.0,25.0,50.0
265,mouse,VISp,14.807190390290534,7.861230666740641,L6a,Pvalb,INH,16602,L6a,Pvalb,INH,16603,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.014608751898280248,0.7528442977532405,2.2662540298644496,-55.0,0.0,25.0,0.0,25.0
266,mouse,VISp,5.879818685626017,64.24936309469659,L23,,EXC,16609,L23,Sst,INH,16610,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.013966422811717576,1.2797521651232886,5.013864128418218,-70.0,0.0,25.0,50.0,75.0
267,mouse,VISp,34.19176099959426,87.32304676771551,L23,,EXC,16609,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.06565751513591188,1.444432843341234,1.954288004555142,-70.0,25.0,50.0,75.0,100.0
268,mouse,VISp,34.19176099959426,87.32304676771551,L23,Sst,INH,16611,L23,,EXC,16609,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0073821857385289805,2.409970643807534,9.681402943035973,-55.0,25.0,50.0,75.0,100.0
269,mouse,VISp,143.0076160101647,11.514808273662897,L23,,EXC,16612,L23,Pvalb,INH,16614,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.010794954023028571,0.9636308710269624,1.465317541365895,-70.0,125.0,150.0,0.0,25.0
270,mouse,VISp,68.99397578018532,38.16365055865647,L23,Sst,INH,16613,L23,,EXC,16609,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011014677254054245,3.617995360698267,15.015237729419217,-55.0,50.0,75.0,25.0,50.0
271,mouse,VISp,101.94417954354508,49.67509650764067,L23,Sst,INH,16613,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004378126944656497,0.9018866161379648,6.014190134019643,-55.0,100.0,125.0,25.0,50.0
272,mouse,VISp,61.478462583196574,9.820766448018801,L23,Pvalb,INH,16616,L23,,EXC,16609,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.01187636487769828,1.6543062592496731,8.049268325494415,-55.0,50.0,75.0,0.0,25.0
273,mouse,VISp,93.98342643216905,97.81032003014343,L23,Pvalb,INH,16616,L23,Sst,INH,16611,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019626175918228124,2.8749172768007623,15.017081841412518,-55.0,75.0,100.0,75.0,100.0
274,mouse,VISp,17.651689038149794,4.695234328598198,L23,Sst,INH,16635,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00962341095270867,2.9630651566203543,6.127730397153409,-55.0,0.0,25.0,0.0,25.0
275,mouse,VISp,17.651689038149794,4.695234328598198,L23,Pvalb,INH,16636,L23,Sst,INH,16635,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002708807705476974,1.9130972888761184,30.39112249867495,-55.0,0.0,25.0,0.0,25.0
276,mouse,VISp,110.9748059785613,8.616267615429674,L23,Pvalb,INH,16636,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011875560294398908,0.6178543189049039,3.9346405209798543,-55.0,100.0,125.0,0.0,25.0
277,mouse,VISp,147.6951916771573,24.66748233217073,L23,Pvalb,INH,16638,L23,Pvalb,INH,16636,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.013320912325793863,1.3521297597133766,2.348412587570497,-55.0,125.0,150.0,0.0,25.0
278,mouse,VISp,36.69888702106891,33.204844187781745,L23,Pvalb,INH,16638,L23,Pvalb,INH,16637,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.015231141294148057,0.40681507335999817,6.216942555355169,-55.0,25.0,50.0,25.0,50.0
279,mouse,VISp,112.11508340344663,52.35186460899128,L23,Sst,INH,16650,L23,,EXC,16656,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0006123473206185587,4.334764118824052,2.7174756047993966,-55.0,100.0,125.0,50.0,75.0
280,mouse,VISp,9.285010638776498,57.716524035044216,L23,Pvalb,INH,16651,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0021280622292896892,0.6233290746088176,3.426701815045411,-55.0,0.0,25.0,50.0,75.0
281,mouse,VISp,101.74613499506393,110.48897326980735,L23,Pvalb,INH,16651,L23,,EXC,16656,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.016176239725908446,1.1341377469128306,7.277177426117595,-55.0,100.0,125.0,100.0,125.0
282,mouse,VISp,112.11508340344663,52.35186460899128,L23,,EXC,16656,L23,Sst,INH,16650,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002836861744422951,1.9596435223150364,2.44302773934949,-70.0,100.0,125.0,50.0,75.0
283,mouse,VISp,101.74613499506393,110.48897326980735,L23,,EXC,16656,L23,Pvalb,INH,16651,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.03717650697719382,0.6874198388467786,1.0050585157499297,-70.0,100.0,125.0,100.0,125.0
284,mouse,VISp,23.355279279869322,40.52076068214039,L23,,EXC,16656,L23,Sst,INH,16655,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.019874350375330776,1.4668618895651815,2.5899586236585472,-70.0,0.0,25.0,25.0,50.0
285,mouse,VISp,124.2954436730297,9.60338361852932,L23,Sst,INH,16666,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006123839612797111,1.0744633924704163,3.2399709603092104,-55.0,100.0,125.0,0.0,25.0
286,mouse,VISp,67.53454340998988,56.790799364194385,L23,Sst,INH,16669,L1,Sst,INH,16670,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0034867143840228536,3.403630861012692,11.439744007272349,-55.0,50.0,75.0,50.0,75.0
287,mouse,VISp,64.98608628836793,117.48923323764922,L1,Sst,INH,16670,L23,Pvalb,INH,16660,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005721269027821051,1.9529417038564914,1.3696081296392206,-55.0,50.0,75.0,100.0,125.0
288,mouse,VISp,30.264504753887017,82.91153908173426,L23,Sst,INH,16680,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0017389457568396346,0.8560859633195216,1.3451737254322111,-55.0,25.0,50.0,75.0,100.0
289,mouse,VISp,88.93650868228394,129.93995427452663,L23,Pvalb,INH,16683,L23,,,16691,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003337715514214292,1.6906307464339632,1.410953110751058,-55.0,75.0,100.0,125.0,150.0
290,mouse,VISp,46.24561632514156,11.253165830458604,L23,Sst,INH,16685,L23,Pvalb,INH,16683,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008713852374073053,2.4117425127388192,5.137324989243588,-55.0,25.0,50.0,0.0,25.0
291,mouse,VISp,91.35028108179621,47.51552883991456,L5,,INH,16748,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009681287720533217,2.2772390088839827,5.113456219013282,-55.0,75.0,100.0,25.0,50.0
292,mouse,VISp,83.43270439605037,12.470039733747804,L5,Sst,INH,16751,L5,Sim1,EXC,16749,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.016488801364033797,7.257362073090656,15.68298486125259,-55.0,75.0,100.0,0.0,25.0
293,mouse,VISp,8.574670093967951,14.827656462826885,L5,Sst,INH,16751,L5,Sim1,EXC,16752,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.014898817518730284,2.1627150997226585,5.111523116153129,-55.0,0.0,25.0,0.0,25.0
294,mouse,VISp,25.611770046526296,34.42135080562436,L5,Sst,INH,16751,L5,Sim1,EXC,16753,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.021781240962661153,1.7821591589484433,5.48757025733926,-55.0,25.0,50.0,25.0,50.0
295,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Sst,INH,16900,L23,Nr5a1,EXC,16904,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002136792743869415,1.4516884419682947,10.905583285645925,-55.0,0.0,25.0,0.0,25.0
296,mouse,VISp,2.6267196196961233,15.04161034196477,L23,Nr5a1,EXC,16904,L23,Sst,INH,16900,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004246046342439171,1.0247306974132873,3.041094486593678,-70.0,0.0,25.0,0.0,25.0
297,mouse,VISp,90.76950949056393,123.45914434391784,L5,,INH,17016,L23,Pvalb,INH,17021,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.013685464341470017,0.8559873901641827,2.3798601638507986,-55.0,75.0,100.0,100.0,125.0
298,mouse,VISp,103.74939813900065,40.653557803901485,L4,,EXC,17416,L5,Sim1,EXC,17413,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0072060594639840395,1.9483044435691625,5.597513372189058,-70.0,100.0,125.0,25.0,50.0
299,mouse,VISp,69.50568992834634,25.186231807766845,L4,Nr5a1,EXC,17480,L23,Pvalb,INH,17482,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004762241830802028,0.9685096368840677,0.9700790548353584,-70.0,50.0,75.0,25.0,50.0
300,mouse,VISp,9.734888026929172,18.364637285368808,L23,Pvalb,INH,17482,L4,Nr5a1,EXC,17481,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.012534155168865177,1.426238019352576,2.668022372750668,-55.0,0.0,25.0,0.0,25.0
301,mouse,VISp,43.60915219670032,107.4397239664411,L5,Pvalb,INH,17488,L23,Nr5a1,EXC,17485,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002256982648925624,1.5027486707064062,25.00667882166081,-55.0,25.0,50.0,100.0,125.0
302,mouse,VISp,16.290155606086966,76.67350500681107,L5,Pvalb,INH,17488,L4,Nr5a1,EXC,17490,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0073729349954247195,1.9413801987102095,6.011972294491622,-55.0,0.0,25.0,75.0,100.0
303,mouse,VISp,16.290155606086966,76.67350500681107,L4,Nr5a1,EXC,17490,L5,Pvalb,INH,17488,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00017038353652125464,0.9062306808597997,0.437669349114562,-70.0,0.0,25.0,75.0,100.0
304,mouse,VISp,22.473989152818557,24.162308964148497,L5,Sst,INH,17602,L5,Sst,INH,17603,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001439775812887456,3.198055212611263,39.99999839082095,-55.0,0.0,25.0,0.0,25.0
305,mouse,VISp,5.023682615072239,38.480632441177725,L4,Nr5a1,EXC,17615,L5,Nr5a1,EXC,17618,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0012174413367458537,2.097564635971785,1.3321542182829151,-70.0,0.0,25.0,25.0,50.0
306,mouse,VISp,116.63842888254308,25.623295862396663,L4,Nr5a1,EXC,17621,L5,Vip,INH,17617,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014890510944137111,1.6205880598259534,2.9345709944051563,-70.0,100.0,125.0,25.0,50.0
307,mouse,VISp,6.649778467790674,81.10141530854615,L5,Pvalb,INH,17652,L4,Nr5a1,EXC,17651,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005300718021332939,1.0759950374775997,10.011206096110065,-55.0,0.0,25.0,75.0,100.0
308,mouse,VISp,53.729988114197404,88.99740165829682,L4,Pvalb,INH,17675,L23,Nr5a1,EXC,17674,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009680152746494457,1.558084673065579,5.969592196241199,-55.0,50.0,75.0,75.0,100.0
309,mouse,VISp,41.7832724286538,90.60769331162173,L4,Pvalb,INH,17682,L4,Nr5a1,EXC,17681,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.032532972595850175,0.6203742115239465,2.816781650606809,-55.0,25.0,50.0,75.0,100.0
310,mouse,VISp,70.76782503294824,104.08286403974486,L4,Sim1,EXC,17721,L5,Sst,INH,17724,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0009414215330124797,7.064219242044967,27.484997814485556,-70.0,50.0,75.0,100.0,125.0
311,mouse,VISp,99.37076464511131,53.89023645500025,L5,Pvalb,INH,17796,L5,,,17800,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0020008505836579794,2.262178929956476,39.964134711637534,-55.0,75.0,100.0,50.0,75.0
312,mouse,VISp,25.81930643273739,50.552236203974715,L4,Pvalb,INH,17942,L4,Pvalb,INH,17952,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.007539810160595598,0.7998185021544439,1.5319054442008408,-55.0,25.0,50.0,50.0,75.0
313,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Vip,INH,19108,L6a,Sst,INH,19111,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003418692746643259,3.907342217284,5.534557187735382,-55.0,25.0,50.0,150.0,175.0
314,mouse,VISp,41.283042008159555,166.34177639764013,L6a,Sst,INH,19111,L6a,Vip,INH,19108,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0009689062858441517,1.8114494186985564,7.65721635375577,-55.0,25.0,50.0,150.0,175.0
315,mouse,VISp,128.676543487516,95.52095942292121,L4,Sst,INH,19305,L23,Nr5a1,EXC,19301,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0018154257268096113,1.2604144339623482,9.262917318151462,-55.0,125.0,150.0,75.0,100.0
316,mouse,VISp,18.875798654720366,80.65923728027974,L5,Sst,INH,19325,L4,Nr5a1,EXC,19326,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0004215191224417155,1.9583200411755446,4.21561484511493,-55.0,0.0,25.0,75.0,100.0
317,mouse,VISp,94.87586363431605,72.72719540311351,L5,Sst,INH,19325,L4,Nr5a1,EXC,19328,AISynphys,Accessed on 2025-07-07 00:00:007,True,3.578040025495256e-08,0.9672024257144028,0.9383055885490424,-55.0,75.0,100.0,50.0,75.0
318,mouse,VISp,18.875798654720366,80.65923728027974,L4,Nr5a1,EXC,19326,L5,Sst,INH,19325,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0010447180785958003,1.2488614420079365,0.6439163982237462,-70.0,0.0,25.0,75.0,100.0
319,mouse,VISp,16.98008768023499,4.599802270917726,L23,,EXC,19367,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.06254066856516705,1.4262031546010552,2.162396512948109,-70.0,0.0,25.0,0.0,25.0
320,mouse,VISp,15.247112961032485,37.31010716432629,L23,,EXC,19368,L23,Pvalb,INH,19363,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002700480267591969,1.8778825173050948,3.4230881868699696,-70.0,0.0,25.0,25.0,50.0
321,mouse,VISp,26.984552811598792,23.852804464842873,L23,Nr5a1,EXC,20840,L4,Nr5a1,EXC,20837,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0031944207699198743,0.7047275908465357,1.950248456213393,-70.0,25.0,50.0,0.0,25.0
322,mouse,VISp,13.815812078212678,4.815606818407396,L4,Pvalb,INH,21429,L4,Sst,INH,21428,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006291756539064613,1.2877582591160646,3.5567336029782233,-55.0,0.0,25.0,0.0,25.0
323,mouse,VISp,61.01391541847961,56.62936525784691,L23,Vip,INH,21686,L23,Sst,INH,21691,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0062155692187954355,0.9642150630315546,12.710273821996108,-55.0,50.0,75.0,50.0,75.0
324,mouse,VISp,49.2214149388678,60.365119443150846,L23,Sst,INH,21687,L23,Vip,INH,21686,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0011956674502378226,1.1316166641004974,1.7841382480957506,-55.0,25.0,50.0,50.0,75.0
325,mouse,VISp,84.7415957842829,54.9398063260444,L23,Sst,INH,21687,L23,Vip,INH,21692,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019746515983632214,1.5438007866111392,4.880109008686828,-55.0,75.0,100.0,50.0,75.0
326,mouse,VISp,30.499422159147898,19.090340843684643,L23,Sst,INH,22093,L23,Vip,INH,22092,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006896063802551274,1.733809054232453,6.373378058768818,-55.0,25.0,50.0,0.0,25.0
327,mouse,VISp,32.44148675646349,45.99545409483662,L23,Vip,INH,22425,L23,Sst,INH,22423,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.012512052593162957,2.366994153262061,18.68056258406189,-55.0,25.0,50.0,25.0,50.0
328,mouse,VISp,15.041640877728145,59.5805292492884,L4,Vip,INH,22438,L23,Sst,INH,22435,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0077056619502138815,2.1989448026605833,9.160835636970601,-55.0,0.0,25.0,50.0,75.0
