orientation selectivity index,temporal frequency (Hz),region,spiking class,citation,layer,dataset
0.0350983920082845,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1242259987499883,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.2936184088686712,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.3427176948763288,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.4532566584944456,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1853081180052881,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.2773500981126145,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.1424786296301992,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.0971356355216692,optimal,SCig,FS,siegle_survey_2019,,Siegle2019
0.316227766016838,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.032328823814318,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.0252351037083664,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0494595398517673,optimal,VISam,FS,siegle_survey_2019,L5,Siegle2019
0.3004403904460446,optimal,VISam,RS,siegle_survey_2019,L5,Siegle2019
0.3000461644997733,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.2651650429449553,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.816998412069597,optimal,VIS,RS,siegle_survey_2019,L5,Siegle2019
0.2349874886509603,optimal,VIS,RS,siegle_survey_2019,L4,Siegle2019
0.1792654619833765,optimal,VIS,RS,siegle_survey_2019,L2,Siegle2019
0.052588330234457,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.1774455417651562,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0916150563534804,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0753907852556452,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.0795107033639143,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.047794880121984,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0287213222968626,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0824621125123532,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0871780673765105,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0357826626496915,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0689776498630344,optimal,VISp,RS,siegle_survey_2019,L5,Siegle2019
0.0607625906423094,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.9626757326078746,optimal,VISl,RS,siegle_survey_2019,L5,Siegle2019
0.1384035999632465,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0511727994897893,optimal,CA3,RS,siegle_survey_2019,,Siegle2019
0.2368267418953534,optimal,VISal,RS,siegle_survey_2019,L5,Siegle2019
0.4150301193889426,optimal,VISal,RS,siegle_survey_2019,L5,Siegle2019
0.4476797705165358,optimal,VISal,RS,siegle_survey_2019,L3,Siegle2019
0.4343065993307288,optimal,VISal,RS,siegle_survey_2019,L3,Siegle2019
0.0098924555615399,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0136915186475135,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.0991838259053953,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.1527066899136175,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.2004996065947953,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.0270270270270269,optimal,LP,RS,siegle_survey_2019,,Siegle2019
0.0905444778500367,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0691435035829136,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.4176336808912861,optimal,VISrl,RS,siegle_survey_2019,L5,Siegle2019
0.179830356836375,optimal,VISrl,RS,siegle_survey_2019,L5,Siegle2019
0.3041381265149109,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.2975327608619246,optimal,VISrl,RS,siegle_survey_2019,L4,Siegle2019
0.0936266446834156,optimal,VISrl,RS,siegle_survey_2019,L3,Siegle2019
0.2402160439462465,optimal,VISrl,RS,siegle_survey_2019,L3,Siegle2019
0.98326359832636,optimal,VISrl,RS,siegle_survey_2019,L2,Siegle2019
0.0739710713711999,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0487800253698573,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0506281015028317,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1290592499948232,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0186287251674159,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0223674545411618,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0519081452325505,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0507745481135514,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0353671868709432,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1057206570671195,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.2181633987683423,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.4499673363462847,optimal,APN,FS,siegle_survey_2019,,Siegle2019
0.0367080977901034,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0358265154999738,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2236067977499788,optimal,VISam,RS,siegle_survey_2019,L5,Siegle2019
0.1497203635596429,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.1791677809206182,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.3579076404953986,optimal,VISam,RS,siegle_survey_2019,L4,Siegle2019
0.1715213402192306,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.0858430582615725,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.4030353880606757,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.1596511680418862,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.1285528677144141,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.1684908291344549,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.1793816539609827,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.1018816281347177,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.2243894322020327,optimal,VISam,FS,siegle_survey_2019,L2,Siegle2019
0.3793103448275862,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.3918778401453834,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.2315215366955529,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.038936480403403,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.0058721190241544,optimal,APN,RS,siegle_survey_2019,,Siegle2019
0.012561083632375,optimal,PO,FS,siegle_survey_2019,,Siegle2019
0.199450548412389,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.3030303030303029,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.0296605356001132,optimal,PO,RS,siegle_survey_2019,,Siegle2019
0.161120536788228,optimal,POL,RS,siegle_survey_2019,,Siegle2019
0.0971461820655001,optimal,LP,RS,siegle_survey_2019,,Siegle2019
0.103703711653142,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.0952466064968527,optimal,grey,FS,siegle_survey_2019,,Siegle2019
