,region,Presynaptic synapse class,Presynaptic gene expression,Presynaptic layer,Postsynaptic synapse class,Postsynaptic gene expression,Postsynaptic layer,minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um),dataset,notes,connection probability,sample size
0,,EXC,Tlx3,L4,EXC,Tlx3,L4,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
1,,EXC,Tlx3,L4,EXC,Tlx3,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
2,,EXC,Tlx3,L4,EXC,Tlx3,L4,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
3,,EXC,Tlx3,L4,INH,Pvalb,L4,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
4,,EXC,Tlx3,L4,INH,Pvalb,L4,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
5,,EXC,Tlx3,L4,INH,Pvalb,L4,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
6,,EXC,Tlx3,L4,INH,Pvalb,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
7,,EXC,Tlx3,L4,INH,Pvalb,L4,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
8,,EXC,Tlx3,L4,INH,Pvalb,L4,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
9,,INH,Pvalb,L4,EXC,Tlx3,L4,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
10,,INH,Pvalb,L4,EXC,Tlx3,L4,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
11,,INH,Pvalb,L4,EXC,Tlx3,L4,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
12,,INH,Pvalb,L4,EXC,Tlx3,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
13,,INH,Pvalb,L4,EXC,Tlx3,L4,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
14,,INH,Pvalb,L4,EXC,Tlx3,L4,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
15,,INH,Pvalb,L4,INH,Pvalb,L4,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
16,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
17,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
18,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,0.0,25.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
19,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
20,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
21,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,25.0,50.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
22,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
23,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,8
24,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
25,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,50.0,75.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
26,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
27,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,75.0,100.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
28,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,100.0,125.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
29,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,125.0,150.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
30,ALM,EXC,Tlx3,L5,EXC,Tlx3,L5,125.0,150.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
31,ALM,INH,Sst,L23,INH,Vip,L23,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
32,ALM,INH,Sst,L23,INH,Vip,L23,25.0,50.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
33,ALM,INH,Sst,L23,INH,Vip,L23,75.0,100.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
34,ALM,INH,Sst,L23,INH,Vip,L23,225.0,250.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
35,ALM,INH,Vip,L23,INH,Sst,L23,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
36,ALM,INH,Vip,L23,INH,Sst,L23,25.0,50.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
37,ALM,INH,Vip,L23,INH,Sst,L23,75.0,100.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
38,ALM,INH,Vip,L23,INH,Sst,L23,225.0,250.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
39,ALM,INH,Vip,L23,INH,Vip,L23,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
40,ALM,INH,Vip,L23,INH,Vip,L23,200.0,225.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
41,VISp,EXC,Cux2,L1,EXC,Cux2,L23,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
42,VISp,EXC,Cux2,L1,EXC,Cux2,L23,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
43,VISp,EXC,Cux2,L1,EXC,Cux2,L23,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
44,VISp,EXC,Cux2,L1,EXC,Cux2,L23,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
45,VISp,EXC,Cux2,L1,EXC,Cux2,L23,25.0,50.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
46,VISp,EXC,Cux2,L1,EXC,Cux2,L23,100.0,125.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
47,VISp,EXC,Cux2,L1,EXC,Cux2,L23,100.0,125.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
48,VISp,EXC,Cux2,L1,EXC,Cux2,L4,0.0,25.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
49,VISp,EXC,Cux2,L1,EXC,Cux2,L4,75.0,100.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
50,VISp,EXC,Cux2,L1,EXC,Cux2,L4,75.0,100.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
51,VISp,EXC,Cux2,L1,EXC,Cux2,L4,100.0,125.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
52,VISp,EXC,Cux2,L23,EXC,Cux2,L1,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
53,VISp,EXC,Cux2,L23,EXC,Cux2,L1,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
54,VISp,EXC,Cux2,L23,EXC,Cux2,L1,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
55,VISp,EXC,Cux2,L23,EXC,Cux2,L1,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
56,VISp,EXC,Cux2,L23,EXC,Cux2,L1,25.0,50.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
57,VISp,EXC,Cux2,L23,EXC,Cux2,L1,100.0,125.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,1.0,1
58,VISp,EXC,Cux2,L23,EXC,Cux2,L1,100.0,125.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
59,VISp,EXC,Cux2,L23,EXC,Cux2,L23,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
60,VISp,EXC,Cux2,L23,EXC,Cux2,L23,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
61,VISp,EXC,Cux2,L23,EXC,Cux2,L23,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
62,VISp,EXC,Cux2,L23,EXC,Cux2,L23,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
63,VISp,EXC,Cux2,L23,EXC,Cux2,L23,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
64,VISp,EXC,Cux2,L23,EXC,Cux2,L23,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
65,VISp,EXC,Cux2,L23,EXC,Cux2,L23,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
66,VISp,EXC,Cux2,L23,EXC,Cux2,L23,125.0,150.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
67,VISp,EXC,Cux2,L23,EXC,Cux2,L23,125.0,150.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
68,VISp,EXC,Cux2,L23,EXC,Cux2,L4,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
69,VISp,EXC,Cux2,L23,EXC,Cux2,L4,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
70,VISp,EXC,Cux2,L23,EXC,Cux2,L4,50.0,75.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
71,VISp,EXC,Cux2,L23,EXC,Cux2,L4,50.0,75.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
72,VISp,EXC,Cux2,L23,EXC,Cux2,L4,75.0,100.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
73,VISp,EXC,Cux2,L23,EXC,Cux2,L4,100.0,125.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
74,VISp,EXC,Cux2,L23,EXC,Cux2,L4,100.0,125.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
75,VISp,EXC,Cux2,L23,EXC,Cux2,L4,125.0,150.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
76,VISp,EXC,Cux2,L23,EXC,Cux2,L4,175.0,200.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
77,VISp,EXC,Cux2,L23,EXC,Cux2,L4,175.0,200.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
78,VISp,EXC,Cux2,L4,EXC,Cux2,L1,0.0,25.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
79,VISp,EXC,Cux2,L4,EXC,Cux2,L1,75.0,100.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
80,VISp,EXC,Cux2,L4,EXC,Cux2,L1,75.0,100.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
81,VISp,EXC,Cux2,L4,EXC,Cux2,L1,100.0,125.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
82,VISp,EXC,Cux2,L4,EXC,Cux2,L23,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
83,VISp,EXC,Cux2,L4,EXC,Cux2,L23,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
84,VISp,EXC,Cux2,L4,EXC,Cux2,L23,50.0,75.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
85,VISp,EXC,Cux2,L4,EXC,Cux2,L23,50.0,75.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
86,VISp,EXC,Cux2,L4,EXC,Cux2,L23,75.0,100.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
87,VISp,EXC,Cux2,L4,EXC,Cux2,L23,100.0,125.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
88,VISp,EXC,Cux2,L4,EXC,Cux2,L23,100.0,125.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
89,VISp,EXC,Cux2,L4,EXC,Cux2,L23,125.0,150.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
90,VISp,EXC,Cux2,L4,EXC,Cux2,L23,175.0,200.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
91,VISp,EXC,Cux2,L4,EXC,Cux2,L23,175.0,200.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
92,VISp,EXC,Cux2,L4,EXC,Cux2,L4,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,16
93,VISp,EXC,Cux2,L4,EXC,Cux2,L4,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,6
94,VISp,EXC,Cux2,L4,EXC,Cux2,L4,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
95,VISp,EXC,Cux2,L4,EXC,Cux2,L4,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.1,10
96,VISp,EXC,Cux2,L4,EXC,Cux2,L4,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
97,VISp,EXC,Cux2,L4,EXC,Cux2,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,8
98,VISp,EXC,Cux2,L4,EXC,Cux2,L5,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,1.0,1
99,VISp,EXC,Cux2,L4,EXC,Cux2,L5,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
100,VISp,EXC,Cux2,L5,EXC,Cux2,L4,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
101,VISp,EXC,Cux2,L5,EXC,Cux2,L4,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
102,VISp,EXC,Fam84b,L4,EXC,Fam84b,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
103,VISp,EXC,Fam84b,L4,EXC,Fam84b,L4,100.0,125.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
104,VISp,EXC,Fam84b,L4,EXC,Fam84b,L4,150.0,175.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
105,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
106,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
107,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
108,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
109,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
110,VISp,EXC,Fam84b,L4,EXC,Fam84b,L5,100.0,125.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
111,VISp,EXC,Fam84b,L4,EXC,Tlx3,L23,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
112,VISp,EXC,Fam84b,L4,EXC,Tlx3,L23,75.0,100.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
113,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
114,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
115,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
116,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
117,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
118,VISp,EXC,Fam84b,L4,EXC,Tlx3,L4,125.0,150.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
119,VISp,EXC,Fam84b,L4,EXC,Tlx3,L5,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
120,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
121,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
122,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
123,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
124,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
125,VISp,EXC,Fam84b,L5,EXC,Fam84b,L4,100.0,125.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
126,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,12
127,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,10
128,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
129,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,14
130,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,12
131,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
132,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,25.0,50.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
133,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,50.0,75.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,8
134,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,50.0,75.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,6
135,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,50.0,75.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
136,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,75.0,100.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
137,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,75.0,100.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
138,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,75.0,100.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
139,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,100.0,125.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,6
140,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,100.0,125.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
141,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,100.0,125.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
142,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,125.0,150.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
143,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,150.0,175.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
144,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,175.0,200.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
145,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,250.0,275.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
146,VISp,EXC,Fam84b,L5,EXC,Fam84b,L5,325.0,350.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
147,VISp,EXC,Fam84b,L5,EXC,Tlx3,L23,0.0,25.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
148,VISp,EXC,Fam84b,L5,EXC,Tlx3,L23,25.0,50.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
149,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
150,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
151,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,0.0,25.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
152,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
153,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
154,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
155,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
156,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,25.0,50.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
157,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,25.0,50.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
158,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,50.0,75.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
159,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,50.0,75.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
160,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,75.0,100.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
161,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,75.0,100.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
162,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,75.0,100.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
163,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,125.0,150.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
164,VISp,EXC,Fam84b,L5,EXC,Tlx3,L4,125.0,150.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,1
165,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,6
166,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,6
167,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,10
168,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
169,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
170,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,3
171,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,0.0,25.0,150.0,175.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,2
172,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,0.0,25.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,8
173,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,25.0,50.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,8
174,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,50.0,75.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,9
175,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,75.0,100.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
176,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,100.0,125.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,4
177,VISp,EXC,Fam84b,L5,EXC,Tlx3,L5,25.0,50.0,125.0,150.0,AISynphys,Accessed on 2025-07-08 00:00:007,0.0,3
